,SSD CMA
2024-01-02,1.0
2024-01-03,0.9953896972579732
2024-01-04,0.9942772963856468
2024-01-05,0.9939080477452585
2024-01-08,1.002250300080141
2024-01-09,1.0052964431019074
2024-01-10,1.0080127807383636
2024-01-11,1.0104458253241653
2024-01-12,1.0173732863993015
2024-01-16,1.0156659126660512
2024-01-17,1.0151083938664096
2024-01-18,1.0221320604353397
2024-01-19,1.0267566374324453
2024-01-22,1.028911940162229
2024-01-23,1.0337707648371126
2024-01-24,1.0310613187121758
2024-01-25,1.045069651718119
2024-01-26,1.044849756551824
2024-01-29,1.046789624058786
2024-01-30,1.0523694111352073
2024-01-31,1.0553857960520434
2024-02-01,1.0710915658677747
2024-02-02,1.0706127984154914
2024-02-05,1.0662572454790347
2024-02-06,1.066676751256116
2024-02-07,1.0724331172468535
2024-02-08,1.066832335030009
2024-02-09,1.0681041118170649
2024-02-12,1.0683324429323087
2024-02-13,1.063285121766286
2024-02-14,1.0704340443761846
2024-02-15,1.0784308445916855
2024-02-16,1.0766664864492685
2024-02-20,1.0749990774242248
2024-02-21,1.0759634487932836
2024-02-22,1.0944193184144133
2024-02-23,1.0993464427818638
2024-02-26,1.0994198952868102
2024-02-27,1.098558939996978
2024-02-28,1.0986659846409876
2024-02-29,1.0992788238303142
2024-03-01,1.1044762522620168
2024-03-04,1.112821138187454
2024-03-05,1.110734997844921
2024-03-06,1.1142007336000308
2024-03-07,1.1195415622214795
2024-03-08,1.1173702084921087
2024-03-11,1.116615269270624
2024-03-12,1.12365222213636
2024-03-13,1.124590139423398
2024-03-14,1.126125579151634
2024-03-15,1.1233668249675308
2024-03-18,1.1279027275080253
2024-03-19,1.138651681908912
2024-03-20,1.1434774456253718
2024-03-21,1.1485804012194585
2024-03-22,1.147781841990253
2024-03-25,1.148682793499399
2024-03-26,1.14252732026909
2024-03-27,1.1522338407502715
2024-03-28,1.152775147676619
2024-04-01,1.149749421182315
2024-04-02,1.144204050249842
2024-04-03,1.1495577008869633
2024-04-04,1.1384650630875464
2024-04-05,1.1468019465000696
2024-04-08,1.1440296436892428
2024-04-09,1.1370889505599933
2024-04-10,1.132429476022095
2024-04-11,1.1262841770729217
2024-04-12,1.115058847093069
2024-04-15,1.1103037616934641
2024-04-16,1.1143364863091187
2024-04-17,1.1145886714396656
2024-04-18,1.1110910910340939
2024-04-19,1.1146124892137195
2024-04-22,1.1157859323231931
2024-04-23,1.1225494378147156
2024-04-24,1.1213547716741106
2024-04-25,1.1231752435475755
2024-04-26,1.1197693601010776
2024-04-29,1.123692996229943
2024-04-30,1.115038845162631
2024-05-01,1.104746774053968
2024-05-02,1.1028886407435308
2024-05-03,1.110282028150129
2024-05-06,1.115276855390904
2024-05-07,1.1187425479533966
2024-05-08,1.120262961730403
2024-05-09,1.1211971440321886
2024-05-10,1.122210308279508
2024-05-13,1.119916967514533
2024-05-14,1.12040103133243
2024-05-15,1.1210561109296042
2024-05-16,1.1243810076097493
2024-05-17,1.1268696436463481
2024-05-20,1.127112368131413
2024-05-21,1.1272378508586387
2024-05-22,1.1239803132297597
2024-05-23,1.120254092595309
2024-05-24,1.1255811476407533
2024-05-28,1.115941011049342
2024-05-29,1.1090287198816557
2024-05-30,1.1133861669688605
2024-05-31,1.1269612584877082
