,SSD SMB
2024-01-02,1.0
2024-01-03,1.002712199390089
2024-01-04,1.0028763080455358
2024-01-05,1.0051336492267582
2024-01-08,1.0170754530422772
2024-01-09,1.0200768973243628
2024-01-10,1.0246867573813494
2024-01-11,1.0338549723985921
2024-01-12,1.0385516385596338
2024-01-16,1.0367537565966907
2024-01-17,1.0340191907116503
2024-01-18,1.0397896881206554
2024-01-19,1.0453532200632298
2024-01-22,1.0484437110547107
2024-01-23,1.0476810393661726
2024-01-24,1.0529988192848068
2024-01-25,1.0676847851053624
2024-01-26,1.0676968007162901
2024-01-29,1.0717332656033116
2024-01-30,1.075449652987327
2024-01-31,1.0801656958804369
2024-02-01,1.0978839201040533
2024-02-02,1.1061929574104545
2024-02-05,1.1112643295157498
2024-02-06,1.11259473655502
2024-02-07,1.1236450247200649
2024-02-08,1.116667168058208
2024-02-09,1.1256187537462579
2024-02-12,1.1226940639820613
2024-02-13,1.128585653252289
2024-02-14,1.1549939913322238
2024-02-15,1.1782856215032802
2024-02-16,1.1587709987384538
2024-02-20,1.1492975587437777
2024-02-21,1.142027997560514
2024-02-22,1.1893369485167544
2024-02-23,1.1888752661437663
2024-02-26,1.1939853418255595
2024-02-27,1.199295975275321
2024-02-28,1.201857756332767
2024-02-29,1.2143556979666075
2024-03-01,1.2295050457616705
2024-03-04,1.263741146750192
2024-03-05,1.2695467370500348
2024-03-06,1.2874373483843453
2024-03-07,1.30083333563053
2024-03-08,1.2860532609767987
2024-03-11,1.2600321111599047
2024-03-12,1.286794526539225
2024-03-13,1.2923505433847717
2024-03-14,1.3025844930455555
2024-03-15,1.2861919488044393
2024-03-18,1.290082686370504
2024-03-19,1.3024841538948622
2024-03-20,1.3234386062496308
2024-03-21,1.3402165198722258
2024-03-22,1.3442947012844062
2024-03-25,1.359636506690819
2024-03-26,1.3397382912057159
2024-03-27,1.3453272912026903
2024-03-28,1.3514739663705537
2024-04-01,1.3619431606769739
2024-04-02,1.355876123609862
2024-04-03,1.3782165940471334
2024-04-04,1.3486573290753383
2024-04-05,1.3835366506521656
2024-04-08,1.3736157803887477
2024-04-09,1.3380625331220315
2024-04-10,1.3403140538568596
2024-04-11,1.3430042392288046
2024-04-12,1.3185098969526239
2024-04-15,1.303031477030343
2024-04-16,1.3046694320638177
2024-04-17,1.3058718410749977
2024-04-18,1.2810065380235622
2024-04-19,1.271265234700284
2024-04-22,1.2803390574637434
2024-04-23,1.2967289935730568
2024-04-24,1.3078491746829783
2024-04-25,1.319391865022512
2024-04-26,1.3250762529506037
2024-04-29,1.3581089071481605
2024-04-30,1.3316244979047458
2024-05-01,1.3260863751376657
2024-05-02,1.3503912732627146
2024-05-03,1.3568017148309939
2024-05-06,1.3805827579936485
2024-05-07,1.375831251016728
2024-05-08,1.4040797422368767
2024-05-09,1.4161204068521722
2024-05-10,1.4202257482148881
2024-05-13,1.402365321735217
2024-05-14,1.415757209181534
2024-05-15,1.4388893150812927
2024-05-16,1.417580172333654
2024-05-17,1.426407061361519
2024-05-20,1.4166327729193098
2024-05-21,1.4310006956350148
2024-05-22,1.4227128980660837
2024-05-23,1.424110885510585
2024-05-24,1.455672262009692
2024-05-28,1.4631158852187582
2024-05-29,1.4483432607659967
2024-05-30,1.4663021689017028
2024-05-31,1.456776324623265
