,SSD
2024-01-02,1.0
2024-01-03,0.9985918130248956
2024-01-04,0.9985183255498097
2024-01-05,1.0023106471614098
2024-01-08,1.0092333110059726
2024-01-09,1.0106682699257687
2024-01-10,1.0134151950466972
2024-01-11,1.0128442357843428
2024-01-12,1.0173855620106864
2024-01-16,1.0149521571373323
2024-01-17,1.0124439476874847
2024-01-18,1.0152781221263847
2024-01-19,1.0194775731060655
2024-01-22,1.0213207300582896
2024-01-23,1.0267901091726046
2024-01-24,1.0217257952453034
2024-01-25,1.0333286928814374
2024-01-26,1.0350053324181896
2024-01-29,1.0393764773726495
2024-01-30,1.0430871350826443
2024-01-31,1.038356641273548
2024-02-01,1.048832446507891
2024-02-02,1.0519494060366146
2024-02-05,1.044331168888818
2024-02-06,1.0437276107408429
2024-02-07,1.04380621706069
2024-02-08,1.03928074168971
2024-02-09,1.0385015816748142
2024-02-12,1.039542001310261
2024-02-13,1.0358623446822266
2024-02-14,1.0414385204044094
2024-02-15,1.0505785881656535
2024-02-16,1.0478683269433793
2024-02-20,1.0496856657129132
2024-02-21,1.0519452119031787
2024-02-22,1.062609377023787
2024-02-23,1.0694234956430013
2024-02-26,1.0652093016376132
2024-02-27,1.0657540387283224
2024-02-28,1.0644513773291622
2024-02-29,1.066514951648763
2024-03-01,1.068883841979409
2024-03-04,1.0720157057913933
2024-03-05,1.0695247126078378
2024-03-06,1.0739720899317504
2024-03-07,1.0813289253495895
2024-03-08,1.081498266662055
2024-03-11,1.083633206664739
2024-03-12,1.0910367269138055
2024-03-13,1.0950836756794762
2024-03-14,1.09355730502052
2024-03-15,1.0900023083795272
2024-03-18,1.0798509413735484
2024-03-19,1.0887021638300511
2024-03-20,1.0974644595324163
2024-03-21,1.0965062390390936
2024-03-22,1.0943879980071103
2024-03-25,1.0946040889761202
2024-03-26,1.089781004899776
2024-03-27,1.101669698517901
2024-03-28,1.1054842360182766
2024-04-01,1.0998727464057412
2024-04-02,1.0950541250198005
2024-04-03,1.0986263971086863
2024-04-04,1.0864726522321606
2024-04-05,1.095130541164319
2024-04-08,1.0954434474672146
2024-04-09,1.091504958817837
2024-04-10,1.083600837732542
2024-04-11,1.0813844586048356
2024-04-12,1.0708215426884786
2024-04-15,1.063974260230962
2024-04-16,1.063291472378234
2024-04-17,1.06433469370851
2024-04-18,1.0616215971266698
2024-04-19,1.066501278197881
2024-04-22,1.0717854459959828
2024-04-23,1.0714364332384425
2024-04-24,1.0745753082567226
2024-04-25,1.0722846613353478
2024-04-26,1.0752101924258513
2024-04-29,1.0826768780095
2024-04-30,1.0701075927708246
2024-05-01,1.0633171770450236
2024-05-02,1.0704031645250498
2024-05-03,1.0782611829032638
2024-05-06,1.0843149902691478
2024-05-07,1.0900822252717381
2024-05-08,1.0933097330086818
2024-05-09,1.092660373500533
2024-05-10,1.0917857685279702
2024-05-13,1.0941912404821472
2024-05-14,1.0909789473024794
2024-05-15,1.0907107857083194
2024-05-16,1.0925532603741641
2024-05-17,1.0980050734221158
2024-05-20,1.0979721691119075
2024-05-21,1.0956785220421759
2024-05-22,1.095762348163947
2024-05-23,1.0882373952808628
2024-05-24,1.0936252728905902
2024-05-28,1.0845090539205728
2024-05-29,1.0757067084829874
2024-05-30,1.0761287699849393
2024-05-31,1.090697399522325
