,SSD SP500+CMA+HML+MARKET+RMW+SMB
2024-01-02,1.0000000000000002
2024-01-03,0.9977699229827549
2024-01-04,0.9965287000598516
2024-01-05,0.9989637724282374
2024-01-08,1.007657773655777
2024-01-09,1.0081276057385278
2024-01-10,1.0106442687125186
2024-01-11,1.0161817347983289
2024-01-12,1.02432098444956
2024-01-16,1.0251433922988415
2024-01-17,1.0241034397063984
2024-01-18,1.0295195037846383
2024-01-19,1.03319121695326
2024-01-22,1.0349771215986914
2024-01-23,1.041553822500386
2024-01-24,1.0422171813590762
2024-01-25,1.0522419115454733
2024-01-26,1.0505153687579623
2024-01-29,1.053505506106096
2024-01-30,1.0601471186419227
2024-01-31,1.0679973792240642
2024-02-01,1.0844670746536245
2024-02-02,1.0858468933476866
2024-02-05,1.0837109989686693
2024-02-06,1.082758532254784
2024-02-07,1.0866917943271968
2024-02-08,1.0800838746911796
2024-02-09,1.0824619259048263
2024-02-12,1.0810472847663117
2024-02-13,1.0786567147528932
2024-02-14,1.0904775768805324
2024-02-15,1.1025938736406802
2024-02-16,1.0942410895093249
2024-02-20,1.0908089007717505
2024-02-21,1.0888294516598922
2024-02-22,1.1147212595121094
2024-02-23,1.1204678506339762
2024-02-26,1.122569882591059
2024-02-27,1.1240972034469467
2024-02-28,1.1253229289309155
2024-02-29,1.129456952160147
2024-03-01,1.1397341203503097
2024-03-04,1.15527683907565
2024-03-05,1.1565170294785703
2024-03-06,1.1662554466076172
2024-03-07,1.1770989572049266
2024-03-08,1.1706183085791357
2024-03-11,1.1563761371894556
2024-03-12,1.1726724124035757
2024-03-13,1.1746074916856704
2024-03-14,1.1802635692682955
2024-03-15,1.1715608455706947
2024-03-18,1.1777911329964135
2024-03-19,1.1885353554012008
2024-03-20,1.2014029830185222
2024-03-21,1.2098937443170172
2024-03-22,1.2106983073122293
2024-03-25,1.2150344547638274
2024-03-26,1.2049967981879475
2024-03-27,1.2116032172802542
2024-03-28,1.2141972220367228
2024-04-01,1.2177513003449776
2024-04-02,1.2143024206969324
2024-04-03,1.228448919013157
2024-04-04,1.2121402880072552
2024-04-05,1.227379285267156
2024-04-08,1.223322761680478
2024-04-09,1.210007815158885
2024-04-10,1.2047715298419772
2024-04-11,1.2016083896197791
2024-04-12,1.1859235708842224
2024-04-15,1.1782941028658103
2024-04-16,1.1812796908597158
2024-04-17,1.180886651683147
2024-04-18,1.1719118284873618
2024-04-19,1.1715414811095257
2024-04-22,1.176283013319885
2024-04-23,1.1870013672048672
2024-04-24,1.1897718848197767
2024-04-25,1.190643480623701
2024-04-26,1.1896176641903966
2024-04-29,1.1982968037269155
2024-04-30,1.1832537835705024
2024-05-01,1.1751918216982649
2024-05-02,1.1824518776929003
2024-05-03,1.191026919198148
2024-05-06,1.1990574159131506
2024-05-07,1.2012477193971176
2024-05-08,1.2067944837354068
2024-05-09,1.2094276281480183
2024-05-10,1.2116906158642318
2024-05-13,1.2070398201484784
2024-05-14,1.209852286019851
2024-05-15,1.2137814929904989
2024-05-16,1.2118114405459373
2024-05-17,1.2143758905224948
2024-05-20,1.2144387688044376
2024-05-21,1.2166860737233125
2024-05-22,1.214029536169911
2024-05-23,1.2114282723841137
2024-05-24,1.2208157566574183
2024-05-28,1.2147203316437174
2024-05-29,1.2062074837952352
2024-05-30,1.2118450494076698
2024-05-31,1.223023155030152
