Date,055018,0BC29E,0BF4BA,168A5D,1A3E1B,24CB56,25102A,2DBF98,2F94A5,3461CF,3CCC90,3D9999,3ED92D,4C37C5,4D371E,50070E,51E682,58CA9A,59B229,5B6C11,5BC2F4,5DD486,60DD84,6166D1,619882,61B81B,61BCA7,73C521,766047,810E30,8377DB,8CF6DD,8FF2EF,9196A2,94208D,968B00,990AD0,9A02C4,9B5968,9F71E5,A8CBDA,AADE0B,AD3C93,B3CB74,B8F71F,BFE02C,C08256,C598D7,C5EF8D,C9E107,CFF97C,D1AE3B,D33D8C,D5AF19,DD682D,DE27F9,E1C16B,E206B0,E8846E,E90C84,EF5BED,F1529C,F1FA25,FACTSET,FEC475
2023-03-30,89.8693,46.9146,13.7269,305.08,28.7853,10.4469,51.9748,221.7711,96.9916,293.6136,78.8596,26.6724,529.1317,156.976,26.935,299.7911,103.4192,41.4772,67.0708,23.269,67.8201,169.8738,370.9462,31.1296,119.8573,112.6504,64.3559,15.7403,65.0678,51.9595,23.5837,38.2475,131.2833,77.9762,70.15,56.7826,26.3206,289.0767,157.4059,99.2399,93.6086,184.3526,60.8382,88.2243,38.4598,27.0658,79.009,55.6184,306.0586,9.8162,333.0125,107.6442,50.2127,619.1935,113.318,186.0588,102.8521,162.2093,34.6106,106.9682,41.4991,127.9345,342.0046,396.7853,70.2034
2023-03-31,91.7586,47.4231,13.974,308.77,28.9979,10.5651,52.5904,225.0444,99.2149,298.5699,80.1141,27.1676,539.7101,159.431,26.6061,305.3642,105.031,42.2155,67.2336,23.8715,69.0239,172.2026,374.2266,31.6565,121.3096,112.7125,64.3654,15.9378,65.8139,52.7701,23.8705,37.692,130.6168,79.5066,73.22,57.4961,26.5996,294.7211,159.0002,100.7469,94.2955,185.9466,61.0559,89.6663,38.6211,26.7139,80.9347,56.4043,308.2979,9.8691,336.4278,107.6262,50.1266,626.762,114.6742,186.7899,104.4737,162.7696,34.6106,107.6187,41.9982,129.8006,343.8389,401.0461,71.0536
2023-04-03,91.9113,47.4796,13.8036,310.31,28.173,10.4385,52.3307,225.9838,98.7316,296.8918,79.7413,27.4478,537.4729,158.3002,25.8861,304.8135,105.359,42.0534,66.6185,23.8627,68.8141,171.1146,372.1895,31.2965,121.1699,110.8502,65.0672,15.955,66.22,52.7974,23.6554,36.6329,132.4794,78.927,73.22,57.07,26.5903,294.5,160.9859,101.8385,94.2764,187.842,61.1884,88.5415,38.9809,26.5644,78.2811,56.6302,310.0482,9.8426,337.8915,106.8791,49.3514,624.2235,113.4613,189.1947,107.717,163.6052,34.9254,107.0807,41.7302,130.1101,347.6132,401.9833,70.7873
2023-04-04,92.2071,46.9617,13.4628,309.07,27.1696,9.8984,52.6193,226.836,97.1937,296.5405,79.0868,27.0274,530.7324,157.121,24.6327,301.2007,103.8784,41.4952,65.4967,23.6323,68.0481,173.5693,375.183,30.7872,119.5501,108.9258,64.3844,15.7231,65.2189,52.3147,22.9475,34.7492,131.7307,76.808,72.51,55.7024,26.0229,288.6921,160.6793,102.4375,94.0474,188.4835,60.4786,86.6765,38.7141,25.6584,74.8167,56.7677,311.7789,9.6752,338.0281,105.475,47.849,617.3857,112.2579,188.0211,106.6988,160.1297,34.0828,105.0559,41.2958,130.7676,344.3575,395.9061,70.6242
2023-04-05,90.4991,47.3101,13.3861,310.39,27.2291,9.755,52.4846,228.6083,96.3061,295.4771,79.5777,26.6257,519.1511,156.2673,25.4505,300.1552,104.2813,41.2071,66.1028,23.5791,68.9327,175.5024,323.0118,30.8311,119.7284,107.6843,65.0482,15.7059,65.3983,53.4258,23.0909,34.6537,133.7864,75.9025,69.33,55.7123,25.7067,287.019,161.1392,102.6114,92.9217,189.8054,60.9991,86.3112,38.863,25.1746,75.0102,57.7991,314.4288,9.7281,336.2619,105.682,46.7676,614.51,113.4326,188.531,108.311,161.725,34.1569,105.8873,41.4806,131.135,348.6216,388.4376,71.1394
2023-04-06,90.5849,48.1011,13.4798,312.51,27.8414,10.0503,52.8117,229.2571,95.981,291.3501,78.8414,26.7378,514.5996,154.0845,26.1261,300.9674,104.8155,41.2882,66.4194,23.5703,69.4525,175.4215,328.3198,31.3931,119.597,108.0834,65.3802,15.7661,65.9744,53.7992,23.3687,35.8343,134.5722,76.2376,69.23,55.8709,25.8927,285.8939,162.2697,104.5724,92.5592,191.8368,61.0937,85.8978,39.1422,25.5704,75.7288,58.0938,314.9079,9.8603,332.6124,105.826,47.2269,614.8472,113.0124,189.3101,108.6316,162.6366,35.0921,105.3884,41.4529,131.5218,347.7573,391.0849,71.586
2023-04-10,90.8617,48.1294,13.6162,312.62,28.207,10.2275,52.3115,227.359,97.141,288.4621,79.7595,26.906,509.5756,156.3255,26.5528,303.3572,104.3094,41.8824,67.1974,23.5791,70.5194,173.2995,321.0608,31.2701,119.9911,108.3672,65.1051,15.809,66.2388,54.1726,23.5568,36.9454,136.1345,76.0655,69.16,55.9403,25.9857,290.4518,161.0721,102.7659,93.6563,190.1261,61.4817,87.734,39.0739,25.764,75.176,57.3866,312.8545,9.9572,330.6315,105.718,49.495,618.0507,114.0343,188.5695,109.4707,163.9471,35.768,105.7895,41.8041,128.7854,350.3023,390.0415,72.2644
2023-04-11,93.9247,48.2141,13.9059,313.7,28.6577,10.3372,52.2826,229.3636,99.2237,292.033,81.7594,27.8869,510.7617,156.9949,26.7661,305.607,104.0096,42.4946,68.3554,24.0665,71.6593,172.2565,323.6143,31.1999,120.5822,108.4647,65.4465,15.8863,66.6638,54.7555,23.7719,37.7093,135.7873,77.0525,68.18,56.3664,26.7019,294.1154,162.0972,102.5244,95.7838,191.273,62.182,89.0511,39.1422,25.8695,76.8437,57.8679,313.7834,10.0453,333.637,106.3841,49.4854,627.2865,114.168,190.5414,109.4612,164.8017,36.4531,105.0265,42.2755,129.5299,348.8906,392.312,73.3464
2023-04-12,91.3102,48.3271,13.744,314.55,28.2411,10.1685,52.8021,229.7123,97.0267,290.9208,80.8231,27.588,511.8803,154.5308,26.9261,308.2862,103.4848,42.2425,68.1473,23.4108,71.3219,172.4004,322.8683,31.0857,120.5634,106.1502,66.6035,15.7403,66.8999,54.6554,23.6464,37.4229,135.3579,77.3966,66.52,56.079,26.488,293.2403,162.9403,103.4518,94.5912,192.7115,62.4375,88.5223,38.9809,25.8431,76.1158,57.4455,314.6244,9.9748,334.4957,104.7189,49.6864,623.8114,111.9045,191.6477,109.4424,165.0771,36.2865,104.9874,42.3587,130.0714,351.1187,397.7901,72.8569
2023-04-13,91.4915,48.6097,14.17,318.05,28.7768,10.371,53.4466,229.4217,98.8458,296.5015,81.1049,27.8122,523.2398,157.4509,27.6906,310.0505,103.5972,42.5846,67.9121,23.8538,71.8691,170.7729,325.6514,31.0682,121.0231,107.6666,66.8596,15.7918,66.8905,54.4459,23.8077,38.6121,126.2762,77.5959,67.67,56.1979,26.5624,296.5097,165.1629,103.8575,95.8696,194.1014,62.7403,89.2722,38.8692,25.9927,77.6822,57.917,317.7827,9.9836,339.4528,104.9079,49.2749,628.2701,112.8596,192.5038,107.585,164.4693,36.7217,104.8113,42.7006,130.6999,348.3527,403.1427,72.8827
