Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-04-14,57.2108,51.0261,48.5675,36.7491,219.0989,31.4011,122.579,31.7775,23.7535,95.485,120.2882,24.9881,27.444,110.2261,15.1768,61.5238,144.6461,155.0569,131.3008,27.003,104.7422,72.7275,100.354,74.9256,,23.6384
2023-04-17,56.6816,50.6596,48.1788,35.5866,217.4033,31.2237,121.1918,31.4418,23.6797,93.3823,117.0406,24.0849,27.444,109.4738,15.1512,60.0544,141.4604,153.6902,129.386,26.9408,103.5238,71.4113,97.6809,73.5629,,23.4067
2023-04-18,56.9633,50.5863,48.2806,35.5235,217.6509,31.6346,120.9668,31.9405,23.7535,93.7328,115.955,24.0266,27.7735,107.8604,15.083,60.1116,141.6061,153.3305,129.4575,26.7987,105.5455,71.7474,97.0705,73.014,,23.4646
2023-04-19,56.6304,50.2474,48.7063,34.9558,216.5365,31.8493,118.4643,31.8542,23.6982,92.6095,113.4828,23.9491,28.7715,107.6791,14.9978,59.6059,140.7709,153.4744,128.5538,26.7276,105.2116,71.1593,97.3572,73.2786,,23.4164
2023-04-20,56.3743,49.487,48.0955,34.1939,214.6217,31.6252,117.8082,31.3843,23.5691,90.983,112.1601,23.5704,28.329,107.1897,14.7848,59.1861,139.8482,152.728,127.0058,26.5054,104.3722,70.5338,95.9883,74.9648,,22.953
2023-04-21,56.5877,49.1298,46.0873,33.7676,214.1263,31.1864,115.7836,31.2501,23.4769,89.9946,109.1315,23.3953,27.9241,106.3286,14.8018,59.0334,139.7025,152.0716,126.2453,26.5943,104.7061,70.5805,94.5824,75.0432,,22.8758
2023-04-24,57.1766,49.8993,46.476,34.3299,216.4697,32.1855,118.5767,31.3939,23.6982,90.4798,109.469,24.017,28.4231,108.0236,15.0148,59.8826,141.5381,154.1937,128.3927,26.9497,106.6827,71.8687,95.8681,75.7686,,22.8276
2023-04-25,55.9476,48.745,45.3099,32.906,211.8973,31.0463,115.4274,30.4062,23.191,89.2488,107.5077,23.0554,27.5758,105.7485,14.8359,58.5182,137.1093,151.9547,124.6704,26.5943,105.1664,70.4872,94.4252,75.4157,,22.538
2023-04-26,55.2392,47.8197,44.2179,32.0806,211.9353,29.6177,114.8463,30.0706,22.7668,89.2038,106.4039,22.6185,27.0768,104.8331,14.6655,57.4973,138.8381,149.2482,122.523,26.1589,104.2007,69.4323,92.9268,74.3668,,22.1712
2023-04-27,55.7342,47.8656,44.3845,32.3436,202.7237,29.8792,113.8153,32.161,23.2002,87.829,104.5794,22.803,27.1521,104.9962,14.7592,57.8026,137.4104,150.1204,123.5341,26.4877,105.4462,69.8082,93.6298,75.2393,,22.3256
2023-04-28,56.6567,48.9465,45.6709,33.4229,207.239,30.5795,114.3496,33.4076,23.606,88.9612,104.6067,23.4634,27.5287,108.2864,14.8567,58.709,140.8874,151.5861,127.2385,26.8875,106.8091,70.983,95.1651,75.8765,,23.0303
2023-05-01,56.6394,48.7725,45.4858,33.4683,206.7056,30.3927,114.7807,32.861,23.4584,88.422,105.2818,23.3468,27.1898,107.5341,14.8133,58.3655,139.1877,150.3811,126.9969,26.9764,103.4967,70.8608,94.8322,75.5334,,22.6152
2023-05-02,54.344,46.4548,42.7372,31.1645,199.58,27.881,109.635,31.4802,22.4164,85.1242,101.0581,22.0844,25.7493,101.1622,14.4495,57.2873,133.1369,143.9069,120.8408,26.0345,99.372,67.9099,91.2342,75.2785,,22.3063
2023-05-03,54.4133,44.8974,41.895,30.9922,197.9416,27.2181,103.1677,30.2049,22.2228,86.2205,97.6646,21.628,25.8529,100.6274,14.3456,56.2664,131.4179,141.0205,115.2305,25.7324,97.4134,67.0922,88.8757,75.004,,22.2098
2023-05-04,54.2487,44.192,41.7099,29.2598,196.2937,27.0967,98.4718,29.7638,22.2597,82.9496,95.1559,21.4434,25.6269,100.8903,14.4149,56.0088,127.1736,140.472,112.734,25.8568,95.7076,65.175,90.0503,77.0431,,22.3643
2023-05-05,55.8771,46.1341,42.3392,30.1305,202.1616,27.8997,100.1965,31.0199,23.1357,83.965,97.6463,22.2689,26.5684,103.4825,14.7614,57.9075,132.3794,144.0598,118.8275,26.8164,98.0903,67.5527,92.8343,77.9253,,22.6056
2023-05-08,55.0196,46.7204,43.1351,30.0036,202.2854,27.965,101.893,30.9624,22.9236,84.4323,97.9565,22.162,26.4649,103.6548,14.6401,56.2569,132.9427,143.4933,118.6396,26.2655,98.4784,66.9607,93.3246,77.1607,,22.567
2023-05-09,55.3141,45.044,43.6534,30.0761,201.2281,28.1051,103.9831,31.1358,22.9052,84.4502,98.887,22.2397,26.5402,103.12,14.5968,56.2569,132.2434,143.0797,118.9259,26.1678,98.5055,66.8949,93.9073,77.396,,23.7445
2023-05-10,54.7511,44.073,42.441,29.7496,199.1991,27.6009,104.7142,31.0202,22.5548,84.6749,101.2679,22.0164,26.2577,101.6607,14.5448,54.2436,131.3499,141.2543,117.4943,25.9101,97.2419,66.5377,92.9268,77.891,,24.343
