Date,1151F4,147C38,2BAE5F,2CB4C9,342218,343996,58B46F,5A9A82,652E62,6DBBBC,6E7060,6ED519,789A7D,7AC86E,7B1E50,7BAAE7,977A1E,97AAF6,9C8BC3,AFD7DD,B2E6B5,B303A6,B560AF,B642E8,D9B1C9,DB5CA5,E10D31,F93C8A,FD39EB
2023-04-11,64.5594,64.5624,70.0575,71.7574,70.3882,88.4742,28.6379,26.2225,16.6192,142.7951,49.608,25.9393,82.6954,103.5497,36.886,56.4885,50.0724,89.4101,22.3298,55.0751,109.2643,38.2866,58.0889,70.8135,84.9274,88.3344,63.4709,49.6792,33.2674
2023-04-12,64.5594,64.823,69.6384,71.9864,70.1948,88.1598,28.6753,26.0679,16.7576,141.6306,49.4463,25.9574,82.512,103.377,36.5423,56.2232,49.9086,89.0312,22.2945,54.6614,108.823,38.1273,58.0342,70.4474,84.8554,88.3877,63.6975,49.3905,33.342
2023-04-13,64.5594,65.1286,69.5075,72.2245,70.0717,87.9802,28.7127,26.1588,16.5995,142.7387,49.0375,25.6675,82.6312,102.8861,36.3131,56.4885,50.3138,88.4809,22.4971,54.6086,107.3583,37.9591,57.9338,70.8181,84.5943,88.1477,63.5929,49.4356,33.4818
2023-04-14,63.7415,64.6612,68.4948,71.4643,69.0077,86.9831,28.4229,25.986,16.6884,140.5788,48.3502,25.2238,82.0443,102.7043,35.9958,55.6284,49.9431,87.2179,21.8981,54.01,106.1376,37.2865,57.952,70.0264,83.271,86.814,62.4248,49.0476,32.8292
2023-04-17,63.9051,65.0208,69.0885,71.9406,69.7375,86.6777,28.6473,26.1224,16.6588,140.7103,48.9297,25.6313,82.3011,102.4497,36.0134,56.1317,50.5897,88.2914,21.4313,54.6262,107.1329,37.7644,58.1345,70.9188,83.9822,87.4986,62.8345,49.3724,32.7359
2023-04-18,63.3962,65.2365,68.425,71.7208,69.4737,85.9951,28.264,25.9132,16.6983,139.0763,48.7725,25.5317,80.9713,101.8498,35.6785,55.3813,49.4517,87.9757,21.5106,54.3445,106.6634,37.9237,58.2349,71.3947,83.244,86.6095,62.8607,49.0296,32.3164
2023-04-19,64.1505,65.4432,68.9575,72.307,70.3267,86.8933,28.5257,26.1043,16.6884,139.9309,49.1408,25.8577,81.8884,102.5497,35.9605,56.3787,49.512,88.535,21.581,55.0047,107.7338,38.0919,58.454,72.2961,84.2072,87.4897,63.4099,49.8867,32.4842
2023-04-20,64.2414,65.632,68.6258,72.1329,70.5289,86.9921,28.507,26.0133,16.7082,140.5037,48.7904,25.894,82.081,103.0588,35.7226,56.15,49.3224,89.0041,21.0261,55.2335,108.7009,38.0565,58.3718,71.8156,84.1802,87.3297,63.6365,49.6521,32.2324
2023-04-21,64.0142,66.1623,68.8266,72.3528,70.863,87.1807,28.5444,26.0952,16.6884,141.7339,48.7994,25.9393,82.5028,103.3497,35.7931,56.397,49.7534,89.3469,21.1406,55.4712,108.3348,38.2512,58.4905,71.7516,84.5493,87.4542,63.5755,49.8867,32.0739
2023-04-24,64.5503,66.6027,69.2631,72.3986,71.1532,87.8005,28.8062,26.077,16.9354,142.2786,48.9746,25.8396,83.1998,103.9406,36.0046,56.9735,49.5896,90.0686,21.2815,55.5328,109.1235,38.4547,58.5909,72.2321,84.8374,87.9343,64.2206,50.1123,32.6334
2023-04-25,64.6867,66.4948,69.4638,71.2811,71.1708,88.2137,28.8249,26.1043,17.0639,143.1331,48.8578,25.9483,83.2365,104.3678,36.2602,57.3121,49.4086,90.5738,21.0261,56.0521,109.1704,38.5963,58.3171,72.2916,84.9634,88.6812,64.3077,50.3018,31.7569
2023-04-26,63.3235,65.2455,67.6655,67.8462,69.4562,86.04,28.3761,25.7677,16.7378,139.9685,47.1869,25.6223,81.6132,102.6952,35.8548,56.4794,48.3827,89.4371,20.3126,54.5998,106.8982,37.8706,57.0303,70.6213,83.0459,87.4453,63.6365,49.3544,31.1416
2023-04-27,63.8506,66.0724,68.0758,69.4766,70.0189,86.7047,28.8156,26.1679,16.8465,139.4144,48.1436,26.0883,82.2827,103.1315,36.2426,57.1932,49.4431,89.4732,20.7618,55.0399,107.9216,37.8618,57.9064,71.4267,83.5501,88.4411,64.1334,50.13,31.7663
2023-04-28,63.5325,66.1083,67.7528,70.1911,69.7478,86.3813,28.4883,26.1224,16.9058,139.2172,48.3233,26.006,81.5949,102.1861,35.0792,56.9735,49.262,88.8327,20.9888,54.6702,107.1705,37.5608,57.6782,71.1521,83.199,87.9165,64.1595,50.1664,32.2165
2023-05-01,63.7688,66.5937,67.8488,70.3468,70.1567,86.1747,28.6847,26.1679,16.9947,137.6583,48.2469,26.0517,82.2002,102.6861,34.3829,56.4062,49.2448,89.4101,20.5453,54.9871,107.5554,38.2158,57.6235,71.596,83.406,88.1032,64.4647,50.3029,32.0562
2023-05-02,62.7964,65.7488,66.7314,69.5591,69.73,85.555,28.0957,25.9223,17.054,137.7992,47.8067,25.5035,81.7233,101.4498,34.1537,56.2689,47.874,88.9229,20.0485,54.0804,105.4428,37.6759,57.3223,70.1042,82.1727,86.7784,63.8806,49.6205,31.4245
2023-05-03,62.2511,65.9106,66.906,69.0553,69.7122,84.6837,28.0022,25.9132,17.0836,137.5644,47.657,25.6954,81.3014,101.477,34.3124,55.9944,48.0723,88.4448,19.9154,54.2917,106.0156,37.4635,57.6874,69.8388,81.8036,86.5384,62.4771,49.5204,31.5282
2023-05-04,62.8055,66.7375,66.9758,69.1652,70.8412,85.6448,28.2359,26.1043,17.0342,138.8134,48.1425,25.9238,82.3102,102.4315,34.6418,56.5387,48.7706,88.8778,19.9421,54.7318,110.7572,37.667,57.9611,70.2369,82.3168,87.2319,63.1919,49.8571,29.586
2023-05-05,63.2235,67.3577,67.6044,69.1652,71.2235,86.2376,28.5351,26.1497,17.0639,139.3862,48.7142,26.0791,82.9706,103.0497,35.3451,57.1752,48.7016,89.7529,20.1106,55.0927,110.3816,37.9237,58.2441,70.8913,82.9199,88.3433,64.1247,50.1391,29.4917
2023-05-08,62.9963,67.0251,67.002,69.669,70.9568,85.3574,28.2827,26.0042,17.2022,139.1503,48.51,25.9969,81.7508,102.7224,34.802,56.4464,48.7103,89.3198,19.259,54.6174,110.6633,37.8529,57.9429,70.8959,82.9469,87.9343,63.9765,49.8207,29.52
2023-05-09,62.8055,67.133,66.7401,69.2293,70.9834,84.8095,28.2453,25.9587,17.0738,139.5372,48.5373,25.9969,81.4757,103.0133,34.6418,56.4464,48.7103,89.1033,19.7558,54.7142,111.2642,37.7201,58.1437,71.2528,82.7562,87.1785,64.1857,49.4931,29.5105
