Date,03B8CF,119CB6,131443,13C3E0,15ABD0,1921DD,24C48B,253B2F,2667B6,2D643C,2E0496,304C94,322A44,32BBAA,32CB22,353DBB,35F4B5,3F4497,4030E2,416C55,431B74,55438C,567F3D,5A6336,5E6959,5F2FF7,616E3B,636639,6844D2,6B5379,6E705B,6EB9DA,72DF04,767F86,8B4A45,92D3A0,945DE6,96F126,9A3FF4,9D30A8,9F18FA,A1EAC8,A4D173,ACF77B,AD23DE,B2256A,B4703C,BFAEB4,C20B75,C4073B,C659EB,CBA33B,CE1002,D21EF3,D56D6D,D8F347,D90F43,D96202,DCD97F,E0339F,E26FC3,E866D2,E8B21D,E94704,EC821B,ED0402,EE6F1C,EEEA9F,F46EC9,F5C8AB,FAE021,FC1B7B,FF6644
2023-03-30,77.2681,164.0044,219.2974,14.47,112.5157,73.9661,138.7689,165.8139,91.966,195.1676,187.7285,111.97,51.9029,43.4447,374.3759,224.9327,140.3036,45.8722,80.8253,273.133,388.3598,211.04,50.1006,176.8495,429.0874,33.0888,154.8952,142.9869,210.6385,325.2183,43.71,651.7954,164.7994,214.3698,36.74,24.5258,97.6387,436.5152,100.9065,438.41,628.1557,194.3941,68.0955,65.6735,195.3073,86.25,64.0211,113.8899,79.8005,162.7604,89.8909,35.7767,69.7053,93.732,211.2564,185.2113,31.19,130.1002,212.8111,70.1071,28.2636,29.92,217.9077,223.5647,41.5711,68.15,183.0383,57.16,98.7736,103.2757,163.167,438.6187,167.1985
2023-03-31,79.0197,167.5587,223.7847,14.75,113.8234,75.1852,140.1651,165.9334,92.4949,198.1208,188.6132,108.01,53.3608,44.0806,383.6432,228.2803,142.7594,47.0941,82.289,278.7565,397.191,212.43,50.7182,177.8841,432.7106,33.8745,156.4678,146.6448,214.4776,324.7738,44.25,670.8252,170.3428,218.4751,37.605,25.0458,99.4494,436.1,102.53,447.36,630.0191,194.4411,70.3843,66.5739,198.3882,88.78,65.1997,112.6819,81.0196,164.9262,92.4207,36.094,72.2332,95.7239,214.5873,187.9191,31.7,130.9378,214.4273,70.4362,28.6851,30.597,221.8153,228.1671,41.9974,68.85,184.4671,58.0075,100.9921,106.2275,165.6432,439.3228,168.9667
2023-04-03,78.6138,164.2994,223.5599,14.42,113.9299,76.2233,138.855,165.087,94.9978,195.1116,188.338,108.53,53.2159,44.0228,377.158,229.1523,141.6985,47.2741,82.3834,276.7047,399.2208,215.39,50.4429,177.6134,432.8087,33.3604,157.1391,145.2743,214.8062,327.7306,43.35,665.3324,168.3623,219.4584,37.74,24.9947,99.2427,448.9137,101.8863,445.59,637.4643,196.3007,69.5544,66.4284,197.8014,90.16,64.9168,112.2387,80.8276,164.1562,90.2257,36.0171,71.2112,95.5342,212.7046,186.3131,31.46,131.819,218.3266,70.7354,28.5989,29.7978,220.0871,227.936,42.5921,68.77,187.0146,58.1172,100.7606,104.4911,165.4126,446.4305,170.8763
2023-04-04,76.8696,161.6004,217.2458,14.16,109.9779,74.7526,137.258,161.9603,93.9872,191.5977,187.3647,101.8,51.9512,41.3249,348.1347,219.8786,136.6003,45.9764,80.4381,264.8021,382.5493,213.9,48.7466,168.022,429.0972,32.9045,156.813,140.0142,212.6003,309.8256,42.54,639.5341,166.1488,207.601,37.835,24.614,96.0544,450.685,96.036,438.34,628.8139,195.6715,67.6849,64.3911,197.6742,87.36,62.0694,110.7896,77.4006,156.1765,88.0494,36.0844,69.1405,94.9272,207.24,182.8957,31.39,131.8093,215.4702,68.8904,28.2732,29.826,213.3663,218.7868,41.7496,68.02,185.2755,55.0961,97.5968,102.6969,162.7571,445.3934,168.8076
2023-04-05,76.8997,159.7569,206.4256,13.89,108.8737,74.1234,134.7238,159.2319,93.2788,189.7474,188.22,99.57,50.5127,40.5638,340.5153,215.1151,133.2703,44.8777,78.4645,259.492,359.6152,210.0,48.1439,164.841,430.1519,32.4582,156.1322,137.9102,215.8293,302.0374,42.03,629.3764,165.2945,203.8585,37.34,23.9175,95.0408,452.0226,95.2867,433.74,617.6846,195.0422,65.5534,62.2811,195.0237,85.96,60.9191,110.0176,76.2103,152.538,86.6636,37.0846,66.7561,93.144,204.4015,181.3364,31.12,130.9475,215.1508,67.7037,28.0624,29.6944,209.1514,212.3084,41.7396,67.75,185.5575,54.7272,96.719,101.8962,161.7239,448.0671,167.4726
2023-04-06,76.3509,160.1502,206.4069,14.01,109.4258,73.6122,135.0298,158.5345,92.7593,191.9622,187.1976,99.8,50.7733,40.2747,344.3929,213.5117,132.8577,44.5556,78.6628,258.5231,355.6037,211.37,47.8835,165.0248,428.4801,32.6814,156.9377,136.6362,217.8662,301.9311,42.66,624.9062,165.0712,199.696,37.19,23.9036,94.8243,452.1887,95.719,433.83,619.1377,193.6051,64.6536,62.2902,192.0993,85.53,60.9096,110.0152,75.3463,150.4011,86.1892,37.2962,66.5947,93.0017,202.7698,185.4728,31.18,131.4026,213.9575,67.5242,28.7618,29.7038,208.1241,211.3657,41.1846,68.36,185.1909,54.2985,96.7094,101.6261,161.0237,447.5723,168.3832
2023-04-10,77.253,164.5845,211.4376,14.15,110.3073,74.2099,135.7853,160.9355,94.0911,189.0651,187.0403,102.2,51.2368,40.7565,353.7474,214.4775,134.3606,45.0008,79.7488,261.4488,362.9918,210.78,48.3448,165.4212,429.0111,32.953,155.6144,139.0298,217.3969,304.5401,43.13,634.4504,169.0613,205.7679,37.485,24.2239,97.0187,458.2588,96.4299,436.16,627.3351,196.9394,65.4835,63.3725,193.4197,88.62,61.7299,109.5963,75.9607,151.5465,88.4865,37.075,69.4453,93.2009,206.2069,185.2207,31.74,130.6763,215.2165,68.2123,28.733,30.2491,210.6972,215.6631,41.7496,68.82,187.2684,55.3055,97.9537,103.8834,162.4582,453.424,169.4618
2023-04-11,78.6062,167.1408,215.3253,14.32,110.2782,73.856,137.7552,163.1173,94.1855,192.3454,188.2102,101.46,51.594,41.932,359.2051,216.1935,134.5964,45.9291,79.7393,264.5741,366.3588,212.32,48.3969,165.3728,431.4402,33.5447,156.4391,141.8094,217.3312,307.2553,44.32,631.4703,170.4011,210.6083,37.87,24.4515,97.8946,450.0392,97.3425,437.75,631.5321,196.4604,65.9639,64.6049,196.1778,92.37,61.8148,109.6572,76.575,152.8556,88.998,37.2193,70.5479,93.5139,209.3737,185.7155,31.12,130.7828,214.4836,68.1325,29.0396,30.7569,211.6189,217.992,42.2848,68.8,186.977,55.4351,99.0919,105.205,164.3282,445.5551,169.9127
2023-04-12,78.4634,167.1752,218.1076,13.0,110.7625,74.0055,139.1706,164.3826,95.8856,192.8126,188.918,100.14,51.3333,42.2595,364.5561,217.8719,136.0797,45.8344,78.9838,267.0439,369.7836,212.34,49.7212,169.1049,435.1477,32.7299,158.7021,141.9928,215.3975,313.5747,41.44,638.268,170.3525,210.5128,38.07,24.405,98.0323,450.2791,97.5538,439.37,637.1822,197.7378,64.5924,65.5826,191.2973,92.93,62.2485,110.5534,77.4966,156.1476,88.1052,37.6713,70.019,93.2198,209.2868,185.5568,30.59,132.642,215.3951,67.4843,28.8959,30.315,213.0111,219.8865,43.0282,68.59,187.6444,56.2527,99.825,105.8899,162.1082,449.8368,170.8321
2023-04-13,79.8016,163.5914,216.4776,12.95,112.2445,74.1628,140.1556,164.4224,96.0368,193.4294,191.3167,103.49,51.7098,42.4908,361.9096,216.8217,136.0011,46.1943,80.6553,264.1846,370.1203,213.59,50.0188,169.9461,435.1772,32.3709,159.9967,142.3595,216.8994,308.7724,41.97,629.8049,169.5273,211.6298,38.37,24.3029,97.8454,454.006,98.1206,442.49,644.2684,198.6019,65.9989,65.1096,193.8011,93.34,62.5597,111.9757,77.9094,154.6749,88.8957,37.7963,71.0678,94.3296,211.1212,184.8005,31.44,133.7169,216.1983,68.1724,29.145,30.2867,212.6078,220.7922,43.1372,69.77,189.4022,55.814,100.8764,106.3432,163.0901,451.1594,173.1926
