Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-04-05,165.9177,85.5993,32.7278,226.9094,208.807,73.0622,35.7325,140.1032,140.7592,120.7936,50.5763,97.9877,48.2861,143.2304,86.6019,47.6134,66.192,60.2635,44.9905,58.0351,77.3565,71.7508,79.541,240.2043,54.0225,477.326,33.3507,36.2205,87.1319,52.8,55.2702,70.6203,33.0715,31.5424,
2023-04-06,166.5682,85.8035,32.9497,228.6438,211.8244,72.4458,35.7325,140.9924,140.0611,121.5326,50.4944,100.518,48.6507,143.5398,87.4708,47.296,65.8675,60.005,45.4211,58.001,77.6963,71.584,80.3653,240.6117,53.7072,466.6202,33.4533,36.0595,87.3878,52.56,55.3833,70.9202,33.1665,31.2455,
2023-04-10,165.5201,87.3904,32.5706,227.9804,211.7867,73.6511,35.7888,139.8253,139.39,120.7134,50.3943,100.9225,48.5571,143.7036,87.4032,48.2029,65.3855,60.0433,45.7768,57.8218,77.2045,71.9917,79.8501,239.5747,55.0046,474.1575,33.4191,35.979,86.9819,52.35,55.4399,70.4141,32.4666,31.5249,
2023-04-11,165.2672,88.3648,32.5891,229.1081,215.1436,74.884,36.2633,139.5474,139.2915,121.0874,50.7857,101.628,48.4151,144.7681,87.4515,49.0192,65.1815,60.5508,44.8969,58.3337,77.8393,72.5568,80.6556,239.9358,55.9055,478.7855,33.5473,36.0863,87.0436,52.28,55.9019,71.2388,32.7604,31.7084,
2023-04-12,164.9419,87.7245,32.5521,234.131,213.5029,74.6263,36.0542,139.9272,138.0924,121.7463,50.3943,101.7503,48.1796,143.0576,86.6502,49.2187,65.0888,59.9092,44.2977,58.3252,77.7946,69.3236,80.4496,239.445,55.4821,469.856,33.5729,35.979,87.176,52.47,55.9962,71.2669,32.5098,31.1668,
2023-04-13,166.5863,86.583,32.5799,238.3483,213.2954,74.7275,36.1668,140.5756,137.627,122.3963,50.3579,102.9731,48.228,144.6225,86.5537,50.9962,65.302,60.3784,44.045,57.8816,77.741,69.1661,80.9928,238.8802,55.5812,478.0558,33.4789,35.9164,88.0231,52.87,56.5619,71.7074,32.4406,31.2455,
2023-04-14,165.8002,87.6038,32.4505,240.727,215.2096,75.252,36.215,139.8623,136.3652,122.2806,49.8663,102.2582,47.9022,143.9674,85.4725,50.8421,64.718,60.1199,43.6705,57.1564,77.3923,68.0729,79.6066,237.2877,54.7973,471.7283,33.4191,35.3624,87.7849,52.56,56.4582,70.8358,31.9481,30.8438,
2023-04-17,166.6495,88.8567,32.7186,240.0068,216.5769,75.6292,36.5448,139.9087,137.2601,123.4381,50.2577,102.9731,48.2377,143.8855,86.8336,51.6764,65.1352,61.02,44.7564,57.6854,77.8662,69.7405,80.103,239.8339,55.3559,474.2631,33.7952,35.8668,88.1908,52.88,56.6939,70.9389,32.2073,31.3853,
2023-04-18,166.9928,90.7591,32.7186,243.6365,214.3798,75.9512,37.1077,140.0569,136.5621,123.5271,50.1758,103.1424,48.3442,146.0237,86.3027,51.9848,65.3577,60.9817,44.7939,57.8048,78.2149,69.268,79.7564,240.3617,54.8424,477.1052,33.7268,35.8038,89.4174,52.68,57.6085,70.789,32.1468,31.0709,
2023-04-19,166.8935,89.7847,32.6816,243.21,214.8702,75.3992,37.3651,140.0846,136.1773,123.2333,49.3656,102.484,48.3958,146.0692,86.4185,52.0846,65.2279,61.4318,44.4194,57.455,77.9019,69.2587,79.8595,238.2321,55.5181,476.2699,33.7353,35.8758,89.5762,52.49,57.5707,70.8358,32.2764,30.4159,
2023-04-20,167.4446,89.4506,32.848,244.9633,214.0026,74.5251,36.9871,140.5979,135.8551,123.8922,49.5022,103.641,48.7055,148.2529,87.1136,52.3294,65.849,61.3552,44.7471,57.3612,78.2953,68.9252,79.9906,241.1209,54.8334,485.4394,33.6841,35.9389,85.3405,52.9,58.061,72.0147,32.3196,30.8875,
2023-04-21,167.5169,88.2534,32.6446,242.8309,213.5217,74.0651,37.1158,145.4632,135.345,126.0559,48.8559,103.8009,48.9507,150.3637,88.4361,52.8917,66.1178,61.2594,44.8594,57.455,78.188,69.9999,80.2529,241.519,54.9595,486.1787,33.5217,35.8938,86.2759,53.07,58.2496,72.4297,32.3629,30.8001,
2023-04-24,167.5982,88.3834,32.6908,240.3385,211.5793,74.3411,37.534,145.7241,135.7298,126.8217,48.692,103.3117,49.283,150.3274,88.6775,52.8645,66.5721,60.886,45.159,57.6854,78.34,69.9443,79.822,241.6579,54.8784,491.0468,33.4875,35.7587,86.7877,53.7,58.6456,73.4482,32.5962,31.001,
2023-04-25,171.4019,84.8013,33.1808,234.131,213.6066,69.8328,37.7914,145.7614,138.1192,128.8162,49.7662,103.2741,48.8991,151.1155,89.276,53.2454,67.2118,61.2403,44.9062,58.4787,79.1268,69.4533,80.4027,243.4912,54.9595,483.1254,33.7097,36.047,87.0878,54.21,59.6639,73.2785,32.9591,30.4683,
