date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-01-02,integer optimal solution,101,0.0014619184926585166,0.0014619184926585166,0.0014619184926585166,0.0,7.20455002784729,203,0,276,275,275,707,401
2024-01-03,integer optimal solution,101,0.0015282362562731827,0.0015282362562731827,0.0015282362562731827,0.0,9.2697172164917,202,0,356,355,355,707,401
2024-01-04,integer optimal solution,101,0.0015544368497172653,0.0015544368497172653,0.0015544368497172653,0.0,7.3892130851745605,202,0,295,294,294,707,401
2024-01-05,integer optimal solution,101,0.0015839362979973653,0.0015839362979973653,0.0015839362979973653,0.0,5.492169141769409,202,0,231,230,230,707,401
2024-01-08,integer optimal solution,101,0.0015640130988186073,0.0015640130988186073,0.0015640130988186073,0.0,5.749834060668945,204,0,238,237,237,707,401
2024-01-09,integer optimal solution,101,0.0016726538988591374,0.0016726538988591374,0.0016726538988591374,0.0,6.298144102096558,204,0,246,245,245,707,401
2024-01-10,integer optimal solution,101,0.0016243122393484856,0.0016243122393484856,0.0016243122393484856,0.0,5.606157064437866,204,0,180,179,179,707,401
2024-01-11,integer optimal solution,101,0.001662095259183152,0.001662095259183152,0.001662095259183152,0.0,7.1185009479522705,203,0,210,209,209,707,401
2024-01-12,integer optimal solution,101,0.0016479016555811235,0.0016479016555811235,0.0016479016555811235,0.0,4.5531439781188965,202,0,185,184,184,707,401
2024-01-16,integer optimal solution,101,0.001711806783229851,0.001711806783229851,0.001711806783229851,0.0,6.254252910614014,203,0,219,218,218,707,401
2024-01-17,integer optimal solution,101,0.0017590172552991716,0.0017590172552991716,0.0017590172552991716,0.0,5.435687065124512,202,0,198,197,197,707,401
2024-01-18,integer optimal solution,101,0.0017310697573370613,0.0017310697573370613,0.0017310697573370613,0.0,4.462587833404541,203,0,172,171,171,707,401
2024-01-19,integer optimal solution,101,0.00168177511672534,0.00168177511672534,0.00168177511672534,0.0,5.430593967437744,204,0,227,226,226,707,401
2024-01-22,integer optimal solution,101,0.001636154109971008,0.001636154109971008,0.001636154109971008,0.0,6.922667980194092,204,0,251,250,250,707,401
2024-01-23,integer optimal solution,101,0.0015409310144888966,0.0015409310144888966,0.0015409310144888966,0.0,7.536106824874878,204,0,269,268,268,707,401
2024-01-24,integer optimal solution,101,0.0015803312263326119,0.0015803312263326119,0.0015803312263326119,0.0,7.167980909347534,203,0,270,269,269,707,401
2024-01-25,integer optimal solution,101,0.0016376313099844713,0.0016376313099844713,0.0016376313099844713,0.0,8.3681321144104,205,0,297,296,296,707,401
2024-01-26,integer optimal solution,101,0.0016731687682787011,0.0016731687682787011,0.0016731687682787011,0.0,7.022819995880127,205,0,234,233,233,707,401
2024-01-29,integer optimal solution,101,0.0016536039226614768,0.0016536039226614768,0.0016536039226614768,0.0,6.133660078048706,205,0,203,202,202,707,401
2024-01-30,integer optimal solution,101,0.0017236757796087357,0.0017236757796087357,0.0017236757796087357,0.0,8.286319971084595,205,0,274,273,273,707,401
2024-01-31,integer optimal solution,101,0.0018141389843011348,0.0018141389843011348,0.0018141389843011348,0.0,6.006428003311157,353,0,210,209,209,707,401
2024-02-01,integer optimal solution,101,0.0019170067443296335,0.0019170067443296335,0.0019170067443296335,0.0,5.675020933151245,470,0,179,178,178,707,401
2024-02-02,integer optimal solution,101,0.0019424216558359547,0.0019424216558359547,0.0019424216558359547,0.0,4.459026098251343,207,0,157,156,156,707,401
2024-02-05,integer optimal solution,101,0.001973622744258337,0.001973622744258337,0.001973622744258337,0.0,5.705822944641113,204,0,176,175,175,707,401
2024-02-06,integer optimal solution,101,0.001988023624579214,0.001988023624579214,0.001988023624579214,0.0,4.440739154815674,206,0,167,166,166,707,401
2024-02-07,integer optimal solution,101,0.0019788130738632947,0.0019788130738632947,0.0019788130738632947,0.0,5.718710899353027,206,0,202,201,201,707,401
2024-02-08,integer optimal solution,101,0.001948706428683962,0.001948706428683962,0.001948706428683962,0.0,5.150800943374634,278,0,177,176,176,707,401
2024-02-09,integer optimal solution,101,0.0019180653398678006,0.0019180653398678006,0.0019180653398678006,0.0,6.329658031463623,403,0,206,205,205,707,401
2024-02-12,integer optimal solution,101,0.001916134868839231,0.001916134868839231,0.001916134868839231,0.0,6.090185880661011,224,0,208,207,207,707,401
2024-02-13,integer optimal solution,101,0.002060525622932957,0.002060525622932957,0.002060525622932957,0.0,6.389662981033325,204,0,214,213,213,707,401
2024-02-14,integer optimal solution,101,0.002070487942814833,0.002070487942814833,0.002070487942814833,0.0,6.422724962234497,204,0,220,219,219,707,401
2024-02-15,integer optimal solution,101,0.002156789137718527,0.002156789137718527,0.002156789137718527,0.0,6.4721620082855225,204,0,209,208,208,707,401
2024-02-16,integer optimal solution,101,0.0020147858931365134,0.0020147858931365134,0.0020147858931365134,0.0,6.232334136962891,204,0,231,230,230,707,401
2024-02-20,integer optimal solution,101,0.001904060588584302,0.001904060588584302,0.001904060588584302,0.0,7.69488787651062,204,0,274,273,273,707,401
