date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-02-08,integer optimal solution,101,6.800703931804161e-05,6.800703931804161e-05,6.800703931804161e-05,0.0,1.3187949657440186,206,0,215,214,214,707,401
2024-02-09,integer optimal solution,101,6.534131665475448e-05,6.534131665475448e-05,6.534131665475448e-05,0.0,2.046811103820801,205,0,320,319,319,707,401
2024-02-12,integer optimal solution,101,6.549815110021103e-05,6.549815110021103e-05,6.549815110021103e-05,0.0,2.7406201362609863,205,0,410,409,409,707,401
2024-02-13,integer optimal solution,101,6.599919688163029e-05,6.599919688163029e-05,6.599919688163029e-05,0.0,1.726776123046875,205,0,268,267,267,707,401
2024-02-14,integer optimal solution,101,6.56851475653155e-05,6.56851475653155e-05,6.56851475653155e-05,0.0,2.085362195968628,205,0,315,314,314,707,401
2024-02-15,integer optimal solution,101,6.586832455171465e-05,6.586832455171465e-05,6.586832455171465e-05,0.0,1.5589609146118164,204,0,243,242,242,707,401
2024-02-16,integer optimal solution,101,6.598523727130385e-05,6.598523727130385e-05,6.598523727130385e-05,0.0,3.1272950172424316,203,0,439,438,438,707,401
2024-02-20,integer optimal solution,101,6.647781058752644e-05,6.647781058752644e-05,6.647781058752644e-05,0.0,2.5049638748168945,207,0,359,358,358,707,401
2024-02-21,integer optimal solution,101,6.683840729910044e-05,6.683840729910044e-05,6.683840729910044e-05,0.0,2.9630990028381348,206,0,414,413,413,707,401
2024-02-22,integer optimal solution,101,6.647512819361014e-05,6.647512819361014e-05,6.647512819361014e-05,0.0,1.958310842514038,208,0,292,291,291,707,401
2024-02-23,integer optimal solution,101,6.739394426286947e-05,6.739394426286947e-05,6.739394426286947e-05,0.0,1.8638319969177246,207,0,278,277,277,707,401
2024-02-26,integer optimal solution,101,6.703598626912254e-05,6.703598626912254e-05,6.703598626912254e-05,0.0,1.3195738792419434,205,0,207,206,206,707,401
2024-02-27,integer optimal solution,101,6.713486198898079e-05,6.713486198898079e-05,6.713486198898079e-05,0.0,2.9349000453948975,203,0,417,416,416,707,401
2024-02-28,integer optimal solution,101,6.697253668496843e-05,6.697253668496843e-05,6.697253668496843e-05,0.0,1.4155230522155762,206,0,215,214,214,707,401
2024-02-29,integer optimal solution,101,6.686505959148025e-05,6.686505959148025e-05,6.686505959148025e-05,0.0,3.37963604927063,205,0,467,466,466,707,401
2024-03-01,integer optimal solution,101,6.65428419925267e-05,6.65428419925267e-05,6.65428419925267e-05,0.0,2.1897099018096924,203,0,333,332,332,707,401
2024-03-04,integer optimal solution,101,6.718700129603064e-05,6.718700129603064e-05,6.718700129603064e-05,0.0,1.5511419773101807,206,0,230,229,229,707,401
2024-03-05,integer optimal solution,101,6.795979956472537e-05,6.795979956472537e-05,6.795979956472537e-05,0.0,2.23893404006958,205,0,324,323,323,707,401
2024-03-06,integer optimal solution,101,6.816336416194942e-05,6.816336416194942e-05,6.816336416194942e-05,0.0,2.3268380165100098,205,0,314,313,313,707,401
2024-03-07,integer optimal solution,101,6.793369687388708e-05,6.793369687388708e-05,6.793369687388708e-05,0.0,3.1243741512298584,207,0,414,413,413,707,401
2024-03-08,integer optimal solution,101,6.837891621364686e-05,6.837891621364686e-05,6.837891621364686e-05,0.0,2.398037910461426,207,0,336,335,335,707,401
2024-03-11,integer optimal solution,101,6.847556086923967e-05,6.847556086923967e-05,6.847556086923967e-05,0.0,4.359884023666382,205,0,581,580,580,707,401
2024-03-12,integer optimal solution,101,6.814467587963038e-05,6.814467587963038e-05,6.814467587963038e-05,0.0,2.6724658012390137,203,0,386,385,385,707,401
2024-03-13,integer optimal solution,101,6.937595680295758e-05,6.937595680295758e-05,6.937595680295758e-05,0.0,2.4018311500549316,205,0,350,349,349,707,401
2024-03-14,integer optimal solution,101,6.978085425164554e-05,6.978085425164554e-05,6.978085425164554e-05,0.0,3.1664910316467285,206,0,441,440,440,707,401
2024-03-15,integer optimal solution,101,6.965368697093944e-05,6.965368697093944e-05,6.965368697093944e-05,0.0,2.016274929046631,203,0,308,307,307,707,401
2024-03-18,integer optimal solution,101,6.951655026718806e-05,6.951655026718806e-05,6.951655026718806e-05,0.0,2.4206831455230713,209,0,336,335,335,707,401
2024-03-19,integer optimal solution,101,6.952038067728319e-05,6.952038067728319e-05,6.952038067728319e-05,0.0,3.056196928024292,209,0,433,432,432,707,401
2024-03-20,integer optimal solution,101,6.979024164616115e-05,6.979024164616115e-05,6.979024164616115e-05,0.0,2.7580339908599854,209,0,404,403,403,707,401
2024-03-21,integer optimal solution,101,6.967334849875131e-05,6.967334849875131e-05,6.967334849875131e-05,0.0,4.122996091842651,205,0,571,570,570,707,401
2024-03-22,integer optimal solution,101,6.979588060819248e-05,6.979588060819248e-05,6.979588060819248e-05,0.0,3.9777309894561768,207,0,564,563,563,707,401
2024-03-25,integer optimal solution,101,6.981654476819796e-05,6.981654476819796e-05,6.981654476819796e-05,0.0,4.295042991638184,206,0,598,597,597,707,401
2024-03-26,integer optimal solution,101,6.980829500216421e-05,6.980829500216421e-05,6.980829500216421e-05,0.0,3.60207200050354,207,0,515,514,514,707,401
2024-03-27,integer optimal solution,101,6.981654476819796e-05,6.981654476819796e-05,6.981654476819796e-05,0.0,3.410323143005371,214,0,472,471,471,707,401
2024-03-28,integer optimal solution,101,6.959490645358969e-05,6.959490645358969e-05,6.959490645358969e-05,0.0,2.699075937271118,208,0,391,390,390,707,401
2024-04-01,integer optimal solution,101,6.934983387894566e-05,6.934983387894566e-05,6.934983387894566e-05,0.0,2.2615439891815186,205,0,339,338,338,707,401
2024-04-02,integer optimal solution,101,6.881040219228791e-05,6.881040219228791e-05,6.881040219228791e-05,0.0,2.7215330600738525,214,0,405,404,404,707,401
2024-04-03,integer optimal solution,101,6.86818309128797e-05,6.86818309128797e-05,6.86818309128797e-05,0.0,2.413968086242676,214,0,353,352,352,707,401
