,SSD SP500
2024-01-02,0.9999999999999999
2024-01-03,1.0015778392587102
2024-01-04,0.9995166344384468
2024-01-05,1.0031887107461082
2024-01-08,1.0186795917824942
2024-01-09,1.024282753007187
2024-01-10,1.0268675970120107
2024-01-11,1.0356056857580558
2024-01-12,1.0385757758961918
2024-01-16,1.0372180346856803
2024-01-17,1.035490218286485
2024-01-18,1.0405028491196333
2024-01-19,1.0644238003356035
2024-01-22,1.070259095434351
2024-01-23,1.0721030461246055
2024-01-24,1.0752139310851805
2024-01-25,1.084652222645824
2024-01-26,1.083599122359158
2024-01-29,1.0915272948273393
2024-01-30,1.0959823965993165
2024-01-31,1.1014603643623362
2024-02-01,1.127289723440399
2024-02-02,1.1393733239820687
2024-02-05,1.1473663310393467
2024-02-06,1.1475165518760368
2024-02-07,1.1606941944022224
2024-02-08,1.1527410370683773
2024-02-09,1.161251252810135
2024-02-12,1.1581891018770925
2024-02-13,1.1657038640390966
2024-02-14,1.1885155804931564
2024-02-15,1.2129302047425454
2024-02-16,1.1884221926897014
2024-02-20,1.1804468423415004
2024-02-21,1.1724380087836768
2024-02-22,1.2259785189706367
2024-02-23,1.2230740717591289
2024-02-26,1.2267288386617932
2024-02-27,1.2333293560328675
2024-02-28,1.2367136129979976
2024-02-29,1.2515559985032685
2024-03-01,1.2686446434677778
2024-03-04,1.3039143136795217
2024-03-05,1.3101710431238291
2024-03-06,1.3262225490609363
2024-03-07,1.3400078978050272
2024-03-08,1.3232528615444172
2024-03-11,1.3006800293297398
2024-03-12,1.3258118774736989
2024-03-13,1.3313693174660528
2024-03-14,1.345678678939153
2024-03-15,1.3345084553572122
2024-03-18,1.3397704210417634
2024-03-19,1.3528074104135284
2024-03-20,1.3760419152102967
2024-03-21,1.3934338686635466
2024-03-22,1.3964145342626701
2024-03-25,1.4110910142832784
2024-03-26,1.3900284474028703
2024-03-27,1.3951401416421076
2024-03-28,1.4039118248860607
2024-04-01,1.4147430177815101
2024-04-02,1.4062363568780747
2024-04-03,1.4261505428146795
2024-04-04,1.3984477851989983
2024-04-05,1.4329515083372975
2024-04-08,1.4250307352864504
2024-04-09,1.3881094087302197
2024-04-10,1.390832982201864
2024-04-11,1.3966702421166202
2024-04-12,1.3730523311051075
2024-04-15,1.3603340895062868
2024-04-16,1.3616317160317548
2024-04-17,1.361704205121034
2024-04-18,1.3394794382749735
2024-04-19,1.3336475235034522
2024-04-22,1.341470380456028
2024-04-23,1.3598512089127894
2024-04-24,1.368110076303036
2024-04-25,1.373928620735928
2024-04-26,1.3807194389609463
2024-04-29,1.4092584457744104
2024-04-30,1.38733134064432
2024-05-01,1.3789136693105162
2024-05-02,1.398035939151106
2024-05-03,1.4059340516797127
2024-05-06,1.4301816991817342
2024-05-07,1.4148793256923007
2024-05-08,1.4375624658150805
2024-05-09,1.4579420323181362
2024-05-10,1.4632490291407028
2024-05-13,1.448881011349217
2024-05-14,1.4605407131337318
2024-05-15,1.4830387925365431
2024-05-16,1.4642247218625144
2024-05-17,1.4687426492866817
2024-05-20,1.4644394134629475
2024-05-21,1.4794030617184881
2024-05-22,1.4740052910986767
2024-05-23,1.4740012249617969
2024-05-24,1.5094451828695885
2024-05-28,1.504948571901003
2024-05-29,1.4911292833332406
2024-05-30,1.5052065195238302
2024-05-31,1.4911180033144364
