,SSD RMW
2024-01-02,1.0
2024-01-03,0.9974979704970809
2024-01-04,0.9957697257298418
2024-01-05,0.9956355647305982
2024-01-08,1.005996748969979
2024-01-09,1.0070601048174423
2024-01-10,1.010991414459048
2024-01-11,1.0178412522976756
2024-01-12,1.0263175594209135
2024-01-16,1.0269987796228603
2024-01-17,1.0259713544166185
2024-01-18,1.032018377027986
2024-01-19,1.0385921700523661
2024-01-22,1.0422723512889693
2024-01-23,1.0445595712390832
2024-01-24,1.0457316902487932
2024-01-25,1.061194681004464
2024-01-26,1.0590248093195047
2024-01-29,1.061623431932884
2024-01-30,1.0672460153490937
2024-01-31,1.072918228454629
2024-02-01,1.0899850925795296
2024-02-02,1.0930286873768376
2024-02-05,1.0937038791734974
2024-02-06,1.091540796961497
2024-02-07,1.1024793064275267
2024-02-08,1.0960543955766218
2024-02-09,1.0993361752925128
2024-02-12,1.0970876175663034
2024-02-13,1.0981527523426038
2024-02-14,1.1108218730542012
2024-02-15,1.1236055764526132
2024-02-16,1.1156156097568908
2024-02-20,1.1107550444299503
2024-02-21,1.1074996947278493
2024-02-22,1.1364079264454288
2024-02-23,1.1413971949803512
2024-02-26,1.14426790903783
2024-02-27,1.1444196159290494
2024-02-28,1.1454045779363589
2024-02-29,1.149436251191367
2024-03-01,1.157729685486592
2024-03-04,1.1749959344173553
2024-03-05,1.1753744390378138
2024-03-06,1.1854871129676374
2024-03-07,1.1951305734749544
2024-03-08,1.1867456557956833
2024-03-11,1.17454156501427
2024-03-12,1.1893752056380842
2024-03-13,1.1909448375990008
2024-03-14,1.1962091360328442
2024-03-15,1.190328281178447
2024-03-18,1.1969398723832643
2024-03-19,1.2059845762297483
2024-03-20,1.2171779739620834
2024-03-21,1.225574556613787
2024-03-22,1.2238671115160962
2024-03-25,1.2271096252368745
2024-03-26,1.216227224030689
2024-03-27,1.2241340134772203
2024-03-28,1.2284803429920448
2024-04-01,1.2308209568752737
2024-04-02,1.2272319106925875
2024-04-03,1.2383803671278786
2024-04-04,1.2224431812182117
2024-04-05,1.240614179114146
2024-04-08,1.236748200389861
2024-04-09,1.2176462856517367
2024-04-10,1.2161721109707222
2024-04-11,1.2121464902270487
2024-04-12,1.1983731457098232
2024-04-15,1.1885340496978714
2024-04-16,1.18901326387124
2024-04-17,1.1889835913533424
2024-04-18,1.1778237219711551
2024-04-19,1.1783224960909062
2024-04-22,1.1826488934049877
2024-04-23,1.1915877067258955
2024-04-24,1.1956053210152762
2024-04-25,1.196961413854006
2024-04-26,1.1974088615318177
2024-04-29,1.2110170059343441
2024-04-30,1.1957656026665648
2024-05-01,1.1826198049834316
2024-05-02,1.1890341962921853
2024-05-03,1.1976176848694378
2024-05-06,1.210050471823779
2024-05-07,1.21183902715851
2024-05-08,1.2202071338753393
2024-05-09,1.2238562345237742
2024-05-10,1.225667263658829
2024-05-13,1.2179021554663905
2024-05-14,1.2230344178268404
2024-05-15,1.2302335092607626
2024-05-16,1.224602976492182
2024-05-17,1.2294863375115226
2024-05-20,1.227455484896926
2024-05-21,1.2301795556537474
2024-05-22,1.223615807060274
2024-05-23,1.2250302422172088
2024-05-24,1.237963729638086
2024-05-28,1.237001266149523
2024-05-29,1.2284218841234367
2024-05-30,1.2354943154906388
2024-05-31,1.2423166861330739
