,TAF-SSD SP500+CMA+HML+MARKET+RMW+SMB
2024-01-02,1.0
2024-01-03,0.9977699229827548
2024-01-04,0.9965287000598516
2024-01-05,0.9989637724282371
2024-01-08,1.0076577736557772
2024-01-09,1.0081276057385278
2024-01-10,1.0106442687125186
2024-01-11,1.0161817347983289
2024-01-12,1.02432098444956
2024-01-16,1.0251433922988418
2024-01-17,1.0241034397063984
2024-01-18,1.0295195037846383
2024-01-19,1.03319121695326
2024-01-22,1.0349771215986914
2024-01-23,1.0415538225003862
2024-01-24,1.042217181359076
2024-01-25,1.052241911545473
2024-01-26,1.050515368757962
2024-01-29,1.0535055061060958
2024-01-30,1.0601471186419227
2024-01-31,1.067997379224064
2024-02-01,1.084467074653624
2024-02-02,1.0858468933476861
2024-02-05,1.0837109989686688
2024-02-06,1.0827585322547835
2024-02-07,1.086691794327196
2024-02-08,1.080083874691179
2024-02-09,1.0824619259048256
2024-02-12,1.0810472847663113
2024-02-13,1.0786567147528925
2024-02-14,1.0904775768805315
2024-02-15,1.1025938736406797
2024-02-16,1.094241089509324
2024-02-20,1.0908089007717496
2024-02-21,1.0888294516598913
2024-02-22,1.1147212595121085
2024-02-23,1.1204678506339751
2024-02-26,1.122569882591058
2024-02-27,1.1240972034469459
2024-02-28,1.1253229289309146
2024-02-29,1.1294569521601463
2024-03-01,1.1397341203503086
2024-03-04,1.1552768390756492
2024-03-05,1.1565169871646668
2024-03-06,1.1662553864761078
2024-03-07,1.1770988303365402
2024-03-08,1.1706181836794252
2024-03-11,1.1563759778093632
2024-03-12,1.1726721811953889
2024-03-13,1.174607267058444
2024-03-14,1.1802633003184002
2024-03-15,1.1715604713720806
2024-03-18,1.177790700477089
2024-03-19,1.1885349274902208
2024-03-20,1.2014025252227563
2024-03-21,1.209893338632985
2024-03-22,1.210697882608369
2024-03-25,1.2150340386489473
2024-03-26,1.204996460582926
2024-03-27,1.2116028865688862
2024-03-28,1.2141969268780244
2024-04-01,1.217751009157198
2024-04-02,1.2143021382445396
2024-04-03,1.228448677385579
2024-04-04,1.2121400495874746
2024-04-05,1.227379043849968
2024-04-08,1.223322521061181
2024-04-09,1.2100075771585477
2024-04-10,1.2047712928715817
2024-04-11,1.2016081532715517
2024-04-12,1.1859233376210927
2024-04-15,1.1782938711033455
2024-04-16,1.1812794585100062
2024-04-17,1.1808864194107451
2024-04-18,1.1719115979802468
2024-04-19,1.1715412506752554
2024-04-22,1.1762827819529873
2024-04-23,1.187001133729742
2024-04-24,1.1897716507997098
2024-04-25,1.1906432464321963
2024-04-26,1.1896174302006635
2024-04-29,1.1982965680300541
2024-04-30,1.1832535508325017
2024-05-01,1.1751915905459973
2024-05-02,1.1824516451126286
2024-05-03,1.1910266849312234
2024-05-06,1.1990571800666818
2024-05-07,1.2012474831198312
2024-05-08,1.2067942463671095
2024-05-09,1.2094273902617991
2024-05-10,1.2116903775328982
2024-05-13,1.207039582731925
2024-05-14,1.2098520480501047
2024-05-15,1.213781254247904
2024-05-16,1.2118112021908387
2024-05-17,1.2143756516629862
2024-05-20,1.2144385299325609
2024-05-21,1.2166858344094065
2024-05-22,1.2140292973785278
2024-05-23,1.2114280341043815
2024-05-24,1.2208155165312318
2024-05-28,1.2147200927164592
2024-05-29,1.206207246542397
2024-05-30,1.2118448110459603
2024-05-31,1.2230229144697846
