date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-01-31,integer optimal solution,101,0.0018142407919513183,0.0018142407919513183,0.0018142407919513183,0.0,7.536961078643799,2449,0,176,696,696,2707,4401
2024-02-01,integer optimal solution,101,0.001917016905587995,0.001917016905587995,0.001917016905587995,0.0,6.16330099105835,2431,0,143,618,618,2707,4401
2024-02-02,integer optimal solution,101,0.0019422164470255378,0.0019422164470255378,0.0019422164470255378,0.0,5.7654969692230225,2207,0,140,424,424,2707,4401
2024-02-05,integer optimal solution,101,0.0019736318349554416,0.0019736318349554416,0.0019736318349554416,0.0,6.137704849243164,2204,0,143,586,586,2707,4401
2024-02-06,integer optimal solution,101,0.0019884077802058554,0.0019884077802058554,0.0019884077802058554,0.0,5.451716899871826,2206,0,126,499,499,2707,4401
2024-02-07,integer optimal solution,101,0.001978765389774803,0.001978765389774803,0.001978765389774803,0.0,6.595177888870239,2206,0,157,587,587,2707,4401
2024-02-08,integer optimal solution,101,0.0019489266464799123,0.0019489266464799123,0.0019489266464799123,0.0,4.391791820526123,2350,0,102,444,444,2707,4401
2024-02-09,integer optimal solution,101,0.0019177034721721865,0.0019177034721721865,0.0019177034721721865,0.0,7.813965082168579,2408,0,178,752,752,2707,4401
2024-02-12,integer optimal solution,101,0.0019163539560548015,0.0019163539560548015,0.0019163539560548015,0.0,5.57135009765625,2204,0,129,574,574,2707,4401
2024-02-13,integer optimal solution,101,0.0020601391168997706,0.0020601391168997706,0.0020601391168997706,0.0,5.080319881439209,2204,0,123,507,507,2707,4401
2024-02-14,integer optimal solution,101,0.0020705391515527015,0.0020705391515527015,0.0020705391515527015,0.0,6.002395868301392,2204,0,141,519,519,2707,4401
2024-02-15,integer optimal solution,101,0.0021568290755612568,0.0021568290755612568,0.0021568290755612568,0.0,5.21303391456604,2204,0,119,536,536,2707,4401
2024-02-16,integer optimal solution,101,0.0020145585228762246,0.0020145585228762246,0.0020145585228762246,0.0,7.356562852859497,2204,0,163,755,755,2707,4401
2024-02-20,integer optimal solution,101,0.0019040996387331792,0.0019040996387331792,0.0019040996387331792,0.0,8.292196989059448,2204,0,192,763,763,2707,4401
2024-02-21,integer optimal solution,101,0.0018880558792679352,0.0018880558792679352,0.0018880558792679352,0.0,9.33345079421997,2204,0,213,900,900,2707,4401
2024-02-22,integer optimal solution,101,0.0019043719171558744,0.0019043719171558744,0.0019043719171558744,0.0,7.623367071151733,2205,0,163,920,920,2707,4401
2024-02-23,integer optimal solution,101,0.0019113262825874375,0.0019113262825874375,0.0019113262825874375,0.0,6.758364915847778,2205,0,148,641,641,2707,4401
2024-02-26,integer optimal solution,101,0.0018237512333200106,0.0018237512333200106,0.0018237512333200106,0.0,7.32868504524231,2204,0,160,796,796,2707,4401
2024-02-27,integer optimal solution,101,0.001844140215353716,0.001844140215353716,0.001844140215353716,0.0,5.589493989944458,2204,0,120,655,655,2707,4401
2024-02-28,integer optimal solution,101,0.0019240437480092113,0.0019240437480092113,0.0019240437480092113,0.0,5.1732189655303955,2205,0,116,587,587,2707,4401
2024-02-29,integer optimal solution,101,0.001954754375019742,0.001954754375019742,0.001954754375019742,0.0,6.026422023773193,2204,0,132,770,770,2707,4401
2024-03-01,integer optimal solution,101,0.0019489569783013158,0.0019489569783013158,0.0019489569783013158,0.0,8.976531982421875,2204,0,197,982,982,2707,4401
2024-03-04,integer optimal solution,101,0.002078373217392809,0.002078373217392809,0.002078373217392809,0.0,5.7346510887146,2204,0,130,628,628,2707,4401
2024-03-05,integer optimal solution,101,0.0022057172220234455,0.0022057172220234455,0.0022057172220234455,0.0,6.469872951507568,2204,0,143,770,770,2707,4401
2024-03-06,integer optimal solution,101,0.002266917591982993,0.002266917591982993,0.002266917591982993,0.0,4.158853054046631,2204,0,94,481,481,2707,4401
2024-03-07,integer optimal solution,101,0.002226916199316451,0.002226916199316451,0.002226916199316451,0.0,6.15497899055481,2204,0,137,695,695,2707,4401
2024-03-08,integer optimal solution,101,0.002207226175262061,0.002207226175262061,0.002207226175262061,0.0,5.500478982925415,2205,0,124,582,582,2707,4401
2024-03-11,integer optimal solution,101,0.001971430546986635,0.001971430546986635,0.001971430546986635,0.0,7.105621099472046,2204,0,154,761,761,2707,4401
2024-03-12,integer optimal solution,101,0.001987876137833816,0.001987876137833816,0.001987876137833816,0.0,8.734457969665527,2204,0,184,997,997,2707,4401
2024-03-13,integer optimal solution,101,0.002125943478863732,0.002125943478863732,0.002125943478863732,0.0,5.329767942428589,2205,0,117,577,577,2707,4401
2024-03-14,integer optimal solution,101,0.0022957554055341753,0.0022957554055341753,0.0022957554055341753,0.0,4.567217111587524,2205,0,101,479,479,2707,4401
2024-03-15,integer optimal solution,101,0.0021891804378980926,0.0021891804378980926,0.0021891804378980926,0.0,5.735310077667236,2206,0,129,575,575,2707,4401
