,SSD HML
2024-01-02,1.0000000000000002
2024-01-03,1.0035991521426084
2024-01-04,1.0032498180401044
2024-01-05,1.006128109264888
2024-01-08,1.0193541151900067
2024-01-09,1.0236114688846283
2024-01-10,1.0270494775778851
2024-01-11,1.0367542284991595
2024-01-12,1.0405784533265445
2024-01-16,1.038220013674162
2024-01-17,1.0354038531101668
2024-01-18,1.0405412328125168
2024-01-19,1.0519118400954628
2024-01-22,1.0553344638010436
2024-01-23,1.0554418636527425
2024-01-24,1.0610464580753571
2024-01-25,1.0734223845153703
2024-01-26,1.0737380361849116
2024-01-29,1.0793616832941444
2024-01-30,1.0839220575209485
2024-01-31,1.0886177500197372
2024-02-01,1.1102411271489527
2024-02-02,1.117873530237867
2024-02-05,1.1242302753729962
2024-02-06,1.12486099182968
2024-02-07,1.1373379451973293
2024-02-08,1.130741253838865
2024-02-09,1.1390466523731693
2024-02-12,1.1357539459311383
2024-02-13,1.141244978529476
2024-02-14,1.166191501808514
2024-02-15,1.1865473248715586
2024-02-16,1.1689122059956798
2024-02-20,1.16052329560182
2024-02-21,1.1530992765981658
2024-02-22,1.1995351562567214
2024-02-23,1.2006379714377284
2024-02-26,1.204982229692856
2024-02-27,1.2084949468744317
2024-02-28,1.2107069181732557
2024-02-29,1.2212234034863068
2024-03-01,1.2355424359802845
2024-03-04,1.2660388337440922
2024-03-05,1.2698403584216218
2024-03-06,1.2833796960367114
2024-03-07,1.2980847831091022
2024-03-08,1.2866561155984964
2024-03-11,1.2652287720876734
2024-03-12,1.2880582073333142
2024-03-13,1.2917237155231294
2024-03-14,1.3019873171403376
2024-03-15,1.2904840241565951
2024-03-18,1.2959819427730674
2024-03-19,1.309544804296036
2024-03-20,1.3285330030293574
2024-03-21,1.341861470528513
2024-03-22,1.343844557925384
2024-03-25,1.3536387753722867
2024-03-26,1.3368902022208107
2024-03-27,1.3428869075819478
2024-03-28,1.3479368051256762
2024-04-01,1.3554331352525917
2024-04-02,1.3505955612121283
2024-04-03,1.3690702307831133
2024-04-04,1.3473983959345153
2024-04-05,1.374994001691046
2024-04-08,1.3686997851180556
2024-04-09,1.342225960566024
2024-04-10,1.3421083852112763
2024-04-11,1.3415545046347173
2024-04-12,1.3228989193410483
2024-04-15,1.3089219371565293
2024-04-16,1.3110328606794674
2024-04-17,1.3098236680054063
2024-04-18,1.29188612568127
2024-04-19,1.284713664033393
2024-04-22,1.2901045046335817
2024-04-23,1.3043480199738262
2024-04-24,1.3104246227908485
2024-04-25,1.3156305079889177
2024-04-26,1.3207230374067853
2024-04-29,1.3425658758277055
2024-04-30,1.320940483871724
2024-05-01,1.311419025288099
2024-05-02,1.3279921120782834
2024-05-03,1.336526511046702
2024-05-06,1.3481415585622587
2024-05-07,1.3427297868754298
2024-05-08,1.3578156014084424
2024-05-09,1.3713116560956238
2024-05-10,1.3763464082456003
2024-05-13,1.3644508447870405
2024-05-14,1.372467575407492
2024-05-15,1.3849306390654015
2024-05-16,1.3718539645265897
2024-05-17,1.3766108675899715
2024-05-20,1.3729682627948465
2024-05-21,1.381462554887251
2024-05-22,1.3745840794979367
2024-05-23,1.3707354774435778
2024-05-24,1.3927805739034396
2024-05-28,1.38951368928527
2024-05-29,1.3772065243135811
2024-05-30,1.3888465462735937
2024-05-31,1.3917011003937851
