date,0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294,SP500,SMB,HML,CMA
2023-03-02,-0.0004339806878594581,-0.0028133893677780306,-0.0035923104095929408,0.012980376124284505,-0.030448169688676037,0.02511254732875596,0.01605099891854972,-0.0011005289566055824,0.0025648218651063547,0.016540812657317543,0.00758219278740374,-5.0,-0.0041,0.0018
2023-03-03,0.030066210789102467,0.012375833174979076,0.014696139018578455,0.059983856321259285,0.006351446718419185,0.0124027599979235,0.0325285231452953,0.021917960541543848,0.0001598912739338258,0.021931376016979167,0.01614773842672113,-0.0008,-0.0052,-0.0065
2023-03-06,-0.012118018967334094,-0.011954348948868489,-0.01165956439393942,0.01042311170339345,-0.027699859747545554,-0.007188585542967893,-0.0035988787412966467,-0.014226407845897652,0.0011190599896087237,-0.014191761855313262,0.0006871595269761269,-0.0161,-0.0009,-0.0013
2023-03-07,-0.002133333333333364,-0.02583512517046142,-0.027557184223895942,0.009373528026377675,0.022719076812116806,-0.008973596790340186,-0.0180684623203136,-0.0031706306119599595,-0.019006081413762387,-0.07057584269662927,-0.015326918040295123,0.0062,-0.0066,-0.0017
2023-03-08,0.003955104222341043,0.0006545917061864695,-0.005402227040535155,0.00018666293340809402,-0.023977433004231302,-0.003704660598312184,-0.031275126847256494,0.028737171208366833,0.0017905892327256545,0.03551190026445037,0.001414795881596675,0.0008,-0.0039,-0.0013
2023-03-09,-0.017781090289608194,-0.015305191476262107,-0.038116856140799286,-0.014370363458218693,-0.023482658959537522,-0.019727411140394547,-0.051289390079853406,0.012260915982575676,-0.010076065578210015,-0.037212696096315195,-0.01845934754672466,-0.0068,-0.0067,0.0063
2023-03-10,-0.016476964769647655,-0.013836241725798866,-0.027244629614441063,-0.016662721893491172,-0.0022197558268591297,-0.024865714243543453,-0.03002785571343816,-0.008847493047545747,-0.008701331787645854,-0.0333459643804471,-0.014478143324737562,-0.0138,0.0081,0.0107
2023-03-13,0.01873691171608071,-0.005381546536316574,-0.04959779370878289,-0.019977855870601153,-0.05005561735261394,-0.01253391083633141,-0.046436161940801475,0.015834248349413136,-0.03974893232418704,-0.04547236377891024,-0.001509766663219816,-0.0117,-0.0352,-0.0061
2023-03-14,0.026506545493887142,-0.006955466762970356,0.02946930103336832,0.01822379408586295,0.045667447306791495,0.14476509394473552,-0.01839610333130382,0.020190165821233858,0.00793398464934729,0.009445585215605621,0.016476647924144588,0.0,-4.0,-0.0044
2023-03-15,0.013912310286677988,0.0,-0.03268472218586092,-0.01963432871822082,-0.007092198581560199,-0.07484233392145898,-0.03749280049621193,-0.01271520352565116,-0.023443514584699614,-0.050854353132628156,-0.006980881741335771,-0.0052,-0.0182,-0.0043
2023-03-16,0.039916839916839954,0.013912597824975673,0.0067785715493958645,0.016435390217498295,0.00037593984962398536,-0.0007236550592394912,0.0343732378968688,0.018696268556907838,0.023305552564778786,0.0060008572653236425,0.01756200696215009,0.0001,-0.0019,-0.0071
2023-03-17,-0.010895641743302712,-0.011419001801052181,-0.04114917963744557,-0.033597986057319895,-0.02442690717775267,-0.04766324111376514,-0.053156220101016866,-0.00652558189852111,-0.010444902559420256,-0.02343417128248816,-0.01101944811982993,-0.0106,-0.0156,-0.0024
2023-03-20,-0.012531581606872249,0.012521869371259695,0.00590744113293909,0.02534816150686305,0.0038520801232664816,0.03181026384350718,0.007014616722282208,-0.00831284108232913,0.015745321186891204,0.010471204188481607,0.008918409884962819,-0.0036,0.0074,0.0071
2023-03-21,0.029679664312762314,-0.0001912818819076742,0.04787271105660688,0.02232753566542893,-0.008825786646201091,0.022727324264323976,0.05922641619508781,0.002172654615078746,0.008177321372810669,0.03756476683937828,0.012982181437196365,0.0047,0.0067,-0.0107
2023-03-22,-0.018984196401948084,-0.026368788048462325,-0.037542155268812945,-0.020262843488649984,-0.020131629887727435,-0.01604947989131095,-0.014254084004361997,-0.011668391732025954,-0.029401257565012093,-0.016645859342488644,-0.016463212233642128,-0.0081,-0.0047,2.0
2023-03-23,0.00010131712259362619,-0.005318598457606339,-0.012087135152064925,0.025267060143407672,-0.027261951797708326,-0.021957171797292663,0.02559030920692382,0.0059552767648414495,0.012534132075266536,-0.01608125264494283,0.0029845287111662016,-0.0044,-0.0154,-0.0084
2023-03-24,-0.005875797791510469,0.0013854884571163192,0.006006198518090235,0.004329416242447293,0.0,0.004169076259881154,0.0010787016354860172,0.0067513708706700565,0.008425150461905858,0.0047311827956989004,0.00563980226503778,0.0017,0.0072,0.0038
2023-03-27,-0.0009171507184346195,0.0034615592009479526,0.014372610358011786,-0.004547607768829977,0.02355808285946378,0.020227676077262537,-0.047662066263224244,-0.016919340868391683,0.006138662385998821,0.03082191780821913,0.001646944464730563,0.0051,0.0101,0.0036
2023-03-28,-0.00815993472052235,0.0024627023144683314,-0.006866893964055097,-0.0006186351955838748,0.02103174603174608,0.008035452244383047,0.06143067762323275,0.004302632930276919,-0.0010165740395934545,0.011627906976744234,-0.001573841052110284,-0.0002,0.0075,0.0054
2023-03-29,0.030954339777869246,0.014252244195685063,0.03292378432028784,0.025427360601876118,0.0167120093276331,0.004140754416005285,0.06001808941338611,0.0006264834579303373,0.009499446145366101,0.01929392446633821,0.014237284294444891,-0.0035,-0.0053,-0.0052
2023-03-30,0.017456359102244388,-0.00397286284599806,0.0006379993764752807,-0.009426514975621088,0.02255351681957186,-0.017113491163306304,0.02730430896125801,-0.005533699736546935,0.005041913862200522,0.009262988320579962,0.0057152644808155136,-0.0062,-0.0058,-0.0011
2023-03-31,0.012647058823529473,0.02266912218625793,0.02102275192974693,0.019594974685917903,0.037383177570093455,0.0018875132521512833,-0.0009887871536772782,0.02583205056504912,0.01872569829581174,0.019952114924181964,0.014436547215347185,0.0051,-0.0077,-0.0077
2023-04-03,-0.008519701810436727,-0.0051366937611760435,0.0016641491914653867,-0.0414252873563218,0.0054054054054053545,0.011934361575394431,-0.01773660351960724,0.00440150034851363,0.007221666709398412,-0.0089984350547731,0.003698844728218521,-0.0019,0.0078,0.0071
2023-04-04,0.015037593984962468,-0.022186944276958907,0.0032183202718272927,-0.0016787375893329308,-0.012544802867383437,-0.022242759564821357,-0.012031196469236876,-0.007235794294305325,-0.011407334498616875,-0.01776549545992891,-0.005796979801090583,-0.0113,-0.0073,0.0
2023-04-05,-0.0274170274170275,0.0003915722210079179,-0.018523519338532482,-0.03137311425002389,-0.03448275862068963,-0.024018908648106914,-0.019286471932114864,-0.00020621936452702936,-0.00016479328742019622,0.0012057877813505282,-0.0024923669099066134,-0.0101,14.0,0.0117
2023-04-06,0.009495548961424412,-0.00713656880325931,0.0009480757267200016,0.014384207132582595,-0.009774436090225621,0.002385533526559214,0.007238162588267046,-0.017968055849375948,-0.00395569076936805,-0.006824568446407134,0.0035791541025322685,-0.0003,-0.0053,-0.0014
2023-04-10,0.0010777973740936648,0.011815184889765601,0.003055696920789164,0.036770818052907,0.035687167805618876,0.018494583554283916,0.01439294601096509,0.006064111553802051,0.011419499851761989,0.013338722716249064,0.0009963167049125078,0.0086,0.0028,-0.0011
2023-04-11,-0.022022119996084957,0.017516471852225816,0.03371057332187272,-0.009432627458378532,0.005498533724340123,0.01114996612900276,0.017221899905340624,0.03689444704365845,0.009490893411932703,0.0015955325089748364,-4.1371490210099456e-05,0.0071,0.0058,0.0012
2023-04-12,-0.0209167333867094,-0.0018166505949913398,-0.027836128302778786,-0.010189020616102532,-0.06671527524608087,-0.007246097993771234,-0.041835519666996945,-0.009121283959591232,-0.022855039824965978,-0.003185981680605269,-0.004134862133174664,-0.0043,0.0037,4.0
2023-04-13,0.04671368700807531,0.017055085555813292,0.0019855394030459613,0.016210495935350448,-0.004296875000000117,-0.01301232836892781,0.015601829612147287,-0.008900976377296423,0.0054733554018286095,0.01917698761486218,0.013262674275101097,0.0016,-0.0117,-0.0068
2023-04-14,0.0010742187499999944,-0.003580128719223567,0.007300131706224108,-0.013537820694878279,0.002746174970576708,0.011789843271774002,-0.017408382346892588,0.0027556753665122233,-0.009404232506031215,0.0011760094080751698,-0.0020693787561017938,-0.0076,2.0,0.0011
2023-04-17,0.0022436835430688687,0.009549033589508465,0.012942792596305869,0.0503358925143953,-0.02621283255086065,0.014301891013860092,0.015623855419165146,0.01251901705794714,0.011824825368300713,0.004698512137823062,0.0033061599533513305,7.0,-2.0,-0.0026
2023-04-18,-0.004282655246252654,-0.00477607031810565,-0.002862278553692388,0.002695417789757428,0.010445962233828767,0.02140975300680759,0.009232164200634793,0.027141243195272963,0.00609103813370454,-0.012470771628994555,0.0008552219947015113,-4.0,-0.0029,0.0018
2023-04-19,0.019550342130987292,-0.0017886691750592346,0.01793951764516316,-0.005877528704209915,-0.019085487077534668,-0.010736113513686262,-0.00406338056928162,-0.0031323753728958,-0.014234863317026456,-0.016574585635359042,-8.426256214355692e-05,0.0026,0.0039,0.0012
2023-04-20,-0.004697986577181159,-0.012726194342492642,-0.02044326995226633,-0.01219120949631054,-0.012971220105391174,-0.0037211239776933766,-0.04795489492567918,0.056352599940129026,-0.004646379091294069,-0.014044943820224776,-0.005952552882162192,0.0012,-0.0026,0.0048
2023-04-21,0.030343897505057234,-0.0023865166256001103,-0.006990038548640546,0.0063100264464343025,-0.004517453798768089,-0.0133839236405345,0.005351451460074041,-0.009480016045755308,-0.008004140132366184,-0.01790801790801796,0.0009031936248575528,0.0009,-0.0091,-1.0
2023-04-24,-0.007011967090501122,0.00555088031105309,-0.002588722889474672,-0.0322283185024666,-0.001650165016501615,0.00147303106735826,-0.010656641926121176,0.018108255179966122,0.00016806193082148923,0.001243265644426073,0.0008515744450249489,-0.0027,0.0048,0.0029
2023-04-25,-0.034271725826193394,-0.006567310821059578,-0.014428306631973826,0.003001429252024752,-0.05123966942148754,-0.04052910388149808,-0.03447939896507659,-0.002764523717752659,-0.017479004540410285,-0.036009933774834475,-0.015810845435383768,-0.0083,0.0011,0.0088
2023-04-26,0.02349614897143425,-0.013893101751899518,-0.005581431283387096,-0.05234408397853042,0.0017421602787456073,0.007113098502027694,-0.022323380685959186,-0.01977658758189483,-0.0010261380155631068,-0.01846285959639329,-0.003841189003941671,-0.0005,-0.0076,-0.0033
