"date","asset","adjClose"
"2023-11-28","00067A",496.7119
"2023-11-29","00067A",469.4266
"2023-11-30","00067A",471.8107
"2023-12-01","00067A",481.8821
"2023-12-04","00067A",478.739
"2023-12-05","00067A",486.8838
"2023-12-06","00067A",470.7792
"2023-12-07","00067A",467.3734
"2023-12-08","00067A",468.6579
"2023-12-11","00067A",463.7827
"2023-12-12","00067A",468.9692
"2023-12-13","00067A",474.9537
"2023-12-14","00067A",456.4262
"2023-12-15","00067A",449.0404
"2023-12-18","00067A",447.6489
"2023-12-19","00067A",451.1034
"2023-12-20","00067A",439.728
"2023-12-21","00067A",441.7228
"2023-12-22","00067A",441.0027
"2023-12-26","00067A",440.6427
"2023-12-27","00067A",439.2706
"2023-12-28","00067A",444.2237
"2023-12-29","00067A",446.3687
"2024-01-02","00067A",458.3516
"2024-01-03","00067A",452.911
"2024-01-04","00067A",454.8805
"2024-01-05","00067A",446.8172
"2024-01-08","00067A",449.2255
"2024-01-09","00067A",447.8215
"2024-01-10","00067A",447.607
"2024-01-11","00067A",443.6192
"2024-01-12","00067A",427.746
"2024-01-16","00067A",427.824
"2024-01-17","00067A",436.5699
"2024-01-18","00067A",401.6841
"2024-01-19","00067A",391.4952
"2024-01-22","00067A",399.4123
"2024-01-23","00067A",397.3355
"2024-01-24","00067A",392.3435
"2024-01-25","00067A",346.4791
"2024-01-26","00067A",352.2024
"2024-01-29","00067A",356.7947
"2024-01-30","00067A",367.4125
"2024-01-31","00067A",368.6118
"2024-02-01","00067A",366.4278
"2024-02-02","00067A",369.4015
"2024-02-05","00067A",351.9976
"2024-02-06","00067A",357.1944
"2024-02-07","00067A",359.3589
"2024-02-08","00067A",358.6082
"2024-02-09","00067A",361.0262
"2024-02-12","00067A",359.9147
"2024-02-13","00067A",355.3712
"2024-02-14","00067A",353.2359
"2024-02-15","00067A",354.8836
"2024-02-16","00067A",357.7502
"2024-02-20","00067A",357.9647
"2024-02-21","00067A",358.4132
"2024-02-22","00067A",358.8812
"2024-02-23","00067A",353.8404
"2024-02-26","00067A",350.9544
"2024-02-27","00067A",353.6356
"2024-02-28","00067A",342.384
"2024-02-29","00067A",341.565
"2024-03-01","00067A",343.2323
"2024-03-04","00067A",338.1622
"2024-03-05","00067A",329.4749
"2024-03-06","00067A",330.6059
"2024-03-07","00067A",332.2049
"2024-03-08","00067A",330.8692
"2024-03-11","00067A",338.328
"2024-03-12","00067A",336.5242
"2024-03-13","00067A",336.573
"2024-03-14","00067A",340.1708
"2024-03-15","00067A",339.4493
"2024-03-18","00067A",338.5133
"2024-03-19","00067A",342.8033
"2024-03-20","00067A",339.4883
"2024-03-21","00067A",338.7083
"2024-03-22","00067A",339.8295
"2024-03-25","00067A",338.4158
"2024-03-26","00067A",339.6735
"2024-03-27","00067A",341.6383
"2024-03-28","00067A",338.9208
"2024-04-01","00067A",343.5444
"2024-04-02","00067A",297.4844
"2024-04-03","00067A",301.1305
"2024-04-04","00067A",303.0659
"2024-04-05","00067A",306.0669
"2024-04-08","00067A",309.8694
"2024-04-09","00067A",312.4304
"2024-04-10","00067A",311.9905
"2024-04-11","00067A",309.1753
"2024-04-12","00067A",305.5586
"2024-04-15","00067A",307.5624
"2024-04-16","00067A",310.3777
"2024-04-17","00067A",316.184
"2024-04-18","00067A",317.5232
"2024-04-19","00067A",320.9445
"2024-04-22","00067A",317.9827
"2024-04-23","00067A",320.6024
"2024-04-24","00067A",308.8723
"2024-04-25","00067A",304.4051
"2024-04-26","00067A",299.019
"2024-04-29","00067A",296.3309
"2024-04-30","00067A",295.2947
"2024-05-01","00067A",307.1421
"2024-05-02","00067A",313.7598
"2024-05-03","00067A",313.3297
"2024-05-06","00067A",312.0492
"2024-05-07","00067A",317.3277
"2024-05-08","00067A",316.8488
"2024-05-09","00067A",327.1517
"2024-05-10","00067A",328.0412
"2024-05-13","00067A",331.9414
"2024-05-14","00067A",336.7508
"2024-05-15","00067A",339.3412
"2024-05-16","00067A",347.2003
"2024-05-17","00067A",348.1876
"2024-05-20","00067A",347.2296
"2024-05-21","00067A",347.6304
"2024-05-22","00067A",348.5786
"2024-05-23","00067A",344.2971
"2024-05-24","00067A",341.4428
"2024-05-28","00067A",341.3548
"2024-05-29","00067A",337.5426
"2024-05-30","00067A",339.566
"2024-05-31","00067A",350.0644
"2023-03-01","003B70",54.0041
"2023-03-02","003B70",54.4887
"2023-03-03","003B70",54.8288
"2023-03-06","003B70",54.6673
"2023-03-07","003B70",54.3272
"2023-03-08","003B70",54.8713
"2023-03-09","003B70",53.9361
"2023-03-10","003B70",52.1847
"2023-03-13","003B70",53.3835
"2023-03-14","003B70",53.7491
"2023-03-15","003B70",53.613
"2023-03-16","003B70",53.0774
"2023-03-17","003B70",52.1847
"2023-03-20","003B70",52.6863
"2023-03-21","003B70",52.0912
"2023-03-22","003B70",50.5013
"2023-03-23","003B70",50.3908
"2023-03-24","003B70",51.8956
"2023-03-27","003B70",51.6151
"2023-03-28","003B70",51.9126
"2023-03-29","003B70",52.7458
"2023-03-30","003B70",53.2304
"2023-03-31","003B70",54.0542
"2023-04-03","003B70",53.6701
"2023-04-04","003B70",53.6445
"2023-04-05","003B70",53.5335
"2023-04-06","003B70",53.414
"2023-04-10","003B70",53.4823
"2023-04-11","003B70",53.0128
"2023-04-12","003B70",52.8591
"2023-04-13","003B70",52.5262
"2023-04-14","003B70",51.8774
"2023-04-17","003B70",52.5518
"2023-04-18","003B70",52.1676
"2023-04-19","003B70",52.6201
"2023-04-20","003B70",52.8676
"2023-04-21","003B70",53.2091
"2023-04-24","003B70",53.0042
"2023-04-25","003B70",52.9615
"2023-04-26","003B70",52.3384
"2023-04-27","003B70",53.175
"2023-04-28","003B70",53.865
"2023-05-01","003B70",53.3507
"2023-05-02","003B70",52.6221
"2023-05-03","003B70",52.2621
"2023-05-04","003B70",53.0764
"2023-05-05","003B70",53.9593
"2023-05-08","003B70",53.7964
"2023-05-09","003B70",53.3335
"2023-05-10","003B70",53.4621
"2023-05-11","003B70",52.9735
"2023-05-12","003B70",53.1707
"2023-05-15","003B70",53.0935
"2023-05-16","003B70",51.6792
"2023-05-17","003B70",51.9878
"2023-05-18","003B70",51.4906
"2023-05-19","003B70",51.4049
"2023-05-22","003B70",51.722
"2023-05-23","003B70",51.5163
"2023-05-24","003B70",50.6506
"2023-05-25","003B70",50.0934
"2023-05-26","003B70",50.282
"2023-05-30","003B70",50.5048
"2023-05-31","003B70",51.1764
"2023-06-01","003B70",51.0042
"2023-06-02","003B70",51.4003
"2023-06-05","003B70",51.6499
"2023-06-06","003B70",51.6672
"2023-06-07","003B70",52.5195
"2023-06-08","003B70",52.399
"2023-06-09","003B70",52.442
"2023-06-12","003B70",52.4937
"2023-06-13","003B70",52.6831
"2023-06-14","003B70",52.6745
"2023-06-15","003B70",52.7176
"2023-06-16","003B70",52.8553
"2023-06-20","003B70",51.9427
"2023-06-21","003B70",51.3228
"2023-06-22","003B70",51.2022
"2023-06-23","003B70",50.5909
"2023-06-26","003B70",51.6155
"2023-06-27","003B70",51.8221
"2023-06-28","003B70",51.7877
"2023-06-29","003B70",51.848
"2023-06-30","003B70",51.701
"2023-07-03","003B70",52.0555
"2023-07-05","003B70",52.4273
"2023-07-06","003B70",51.7961
"2023-07-07","003B70",51.5107
"2023-07-10","003B70",51.2946
"2023-07-11","003B70",52.3149
"2023-07-12","003B70",52.1506
"2023-07-13","003B70",52.704
"2023-07-14","003B70",52.5916
"2023-07-17","003B70",52.998
"2023-07-18","003B70",52.7386
"2023-07-19","003B70",53.3785
"2023-07-20","003B70",54.1481
"2023-07-21","003B70",54.2605
"2023-07-24","003B70",54.7966
"2023-07-25","003B70",54.5545
"2023-07-26","003B70",55.1252
"2023-07-27","003B70",53.7763
"2023-07-28","003B70",53.1537
"2023-07-31","003B70",52.9453
"2023-08-01","003B70",52.7803
"2023-08-02","003B70",52.4242
"2023-08-03","003B70",51.0956
"2023-08-04","003B70",51.4256
"2023-08-07","003B70",52.1985
"2023-08-08","003B70",51.2346
"2023-08-09","003B70",51.6774
"2023-08-10","003B70",51.0522
"2023-08-11","003B70",50.9046
"2023-08-14","003B70",50.3141
"2023-08-15","003B70",49.8712
"2023-08-16","003B70",49.3849
"2023-08-17","003B70",49.3936
"2023-08-18","003B70",49.411
"2023-08-21","003B70",48.8291
"2023-08-22","003B70",48.9073
"2023-08-23","003B70",49.5933
"2023-08-24","003B70",48.942
"2023-08-25","003B70",48.6294
"2023-08-28","003B70",49.0375
"2023-08-29","003B70",49.0375
"2023-08-30","003B70",49.1157
"2023-08-31","003B70",48.8889
"2023-09-01","003B70",49.0285
"2023-09-05","003B70",48.1997
"2023-09-06","003B70",47.9729
"2023-09-07","003B70",48.0514
"2023-09-08","003B70",48.2608
"2023-09-11","003B70",48.1299
"2023-09-12","003B70",48.1125
"2023-09-13","003B70",48.0339
"2023-09-14","003B70",48.0863
"2023-09-15","003B70",47.1964
"2023-09-18","003B70",46.8737
"2023-09-19","003B70",47.1092
"2023-09-20","003B70",46.9347
"2023-09-21","003B70",45.4168
"2023-09-22","003B70",44.9806
"2023-09-25","003B70",44.6578
"2023-09-26","003B70",43.8465
"2023-09-27","003B70",43.323
"2023-09-28","003B70",43.2881
"2023-09-29","003B70",43.7968
"2023-10-02","003B70",42.9636
"2023-10-03","003B70",42.8759
"2023-10-04","003B70",43.4723
"2023-10-05","003B70",43.902
"2023-10-06","003B70",43.9459
"2023-10-09","003B70",44.3317
"2023-10-10","003B70",44.0248
"2023-10-11","003B70",44.6825
"2023-10-12","003B70",44.0949
"2023-10-13","003B70",44.3668
"2023-10-16","003B70",44.4984
"2023-10-17","003B70",44.7001
"2023-10-18","003B70",43.7705
"2023-10-19","003B70",43.3407
"2023-10-20","003B70",43.2794
"2023-10-23","003B70",42.9812
"2023-10-24","003B70",43.4986
"2023-10-25","003B70",43.218
"2023-10-26","003B70",43.6652
"2023-10-27","003B70",42.9724
"2023-10-30","003B70",40.5344
"2023-10-31","003B70",41.7867
"2023-11-01","003B70",42.3247
"2023-11-02","003B70",44.1239
"2023-11-03","003B70",44.8471
"2023-11-06","003B70",44.5031
"2023-11-07","003B70",44.7148
"2023-11-08","003B70",45.1558
"2023-11-09","003B70",44.2474
"2023-11-10","003B70",44.1504
"2023-11-13","003B70",44.0093
"2023-11-14","003B70",45.9848
