,0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
1,-0.021096616388096283,-0.022469349334848662,0.007583522682474041,-0.01437371663244355,-0.031093638313080808,0.007767164320931974,0.03520426695214969,0.0042120946824071494,-0.017172238350733567,0.010065949323151777
2,-0.006142634044768385,-0.030410361560195772,-0.016694156587875684,-0.00016891891891892533,0.0007377351530800286,-0.032707541539381324,-0.041366192371261615,-0.006816350577451133,-0.03128961249325085,-0.0048109965635739025
3,-0.018646553530274324,-0.035193954892270396,-0.0391558233512821,-0.07073266880666781,-0.0025801695539992733,0.005107749023534722,-0.029724236907754716,-0.02840228814686719,0.006230588364423433,-0.027279005524861847
4,0.038108454312553296,0.018745874587458723,0.06403788814263761,0.017332282891946025,0.026977087952697727,-0.009756909353209386,0.03458579441107874,0.026733196637139,0.022323954704426538,0.008164714235001664
5,0.002776349614395846,0.0163275884411041,0.028220242433677503,0.04968130100673142,0.038503058654192165,-0.018269256452948385,0.0238824014814956,0.012700484343283662,0.02390709243742318,0.026056338028169087
6,-0.012305168170631695,-0.062143048710248984,-0.005694426010313284,-0.026814596220418783,-0.026680526680526666,0.009618077087459407,-0.0037298047006784508,0.013796512770031476,-0.00498077054588205,-0.03877831159917636
7,0.00892857142857157,-0.018000564898253996,0.08994475662559592,-0.018806309589760168,-0.0035599857600570103,0.0032102926991947663,0.01872824757783836,-0.015669982794746455,0.0034413184029532923,-0.004641199571581669
8,0.020991973657131013,0.005491161152034049,-0.00017236561832088178,0.042612623321050855,-0.005359056806002093,0.029623966905147903,-0.022982243931265547,0.013929239721804485,0.008108205073009713,0.024390243902439015
9,0.03043741181213461,0.01497104426980392,0.013009496260836001,0.0223450949096505,-0.01903735632183912,-0.021553453150835126,0.03668771027860729,-0.002995493957807052,0.016238041470256113,-0.01015406162464983
10,-0.016529733959311402,-0.023166718512090834,-0.02194264709043613,-0.04778366322832447,0.01025265470523622,-0.005430676656978527,-0.034477728955093226,-0.017509094799914346,-0.006695149439046335,-0.005659709939865587
11,0.02565887618100446,0.022205302072558677,0.034782473318570775,0.03993441855018148,0.04965567234505259,0.02091301899944596,0.016910265125764788,0.040704132706624443,0.02267431611672883,0.02205620775524728
12,0.01958692911858829,0.006778755838303029,-0.02243660940988853,0.014358108108108173,0.009323204419889488,0.010292098194013638,0.04805808566149502,0.012261252474853825,0.03131037876140576,0.003828750435085257
13,0.07379933428435559,0.03823496565972415,0.04719320433791096,-0.06372467388287548,0.02189531303455356,-0.014083012116177615,0.061729816883565554,0.03043018455975168,0.026438143859969145,0.026005547850208043
14,-0.08431494110353376,-0.023276190476190447,0.0018146200104433988,-0.0028457935613920068,0.0066956812855707825,-0.00638245516901975,-0.019933748863133913,-0.033709048772779936,-0.03453089380347578,-0.02365664075701248
15,-0.011703259502853213,-0.008426959847475013,-0.031290585641366435,-0.004280872822403228,0.014632524110409087,0.015293566154927989,0.005934035995845408,-0.010482108465320127,-0.02037524551028571,-0.050536517826237484
