date,SMB,HML,CMA
2023-09-19,-0.0011,0.0,0.0031
2023-09-20,-0.0005,0.0026,0.0049
2023-09-21,0.0034,0.0038,0.0013
2023-09-22,-0.0009,-0.0051,-0.0019
2023-09-25,-0.0006,0.0033,-0.0046
2023-09-26,0.0036,-0.0051,-0.0007
2023-09-27,0.0078,1,-0.0028
2023-09-28,0.0019,0.0004,-0.0003
2023-09-29,-0.0002,0.0031,-0.0015
2023-10-02,-0.0128,-0.0105,-0.0052
2023-10-03,-0.0026,-0.0015,0.0014
2023-10-04,-0.0053,-0.0037,-0.0033
2023-10-05,0.0028,0.0009,-0.0012
2023-10-06,-0.0044,-0.0055,-0.0052
2023-10-09,-0.0016,0.0026,-0.0037
2023-10-10,0.0033,0.0062,0.0019
2023-10-11,-0.0065,0.0038,-0.0025
2023-10-12,-15,0.0011,-0.0022
2023-10-13,-0.0035,0.0005,0.0046
2023-10-16,0.0058,-1,-0.0002
2023-10-17,0.0105,0.0068,0.0032
2023-10-18,-0.0061,-0.0017,0.0046
2023-10-19,-0.0054,-0.0022,0.0001
2023-10-20,0.0009,-0.0015,0.0036
2023-10-23,-0.0058,-0.0077,-0.0043
2023-10-24,0.0009,-0.0058,0.0015
2023-10-25,-0.0002,0.0085,0.0021
2023-10-26,0.0118,0.0168,0.0047
2023-10-27,-0.0058,-0.0058,-0.0096
2023-10-30,-0.0033,0.0028,0.0017
2023-10-31,0.0005,-0.0007,0.0006
2023-11-01,-0.0068,-0.0002,-0.0071
2023-11-02,0.0071,0.0164,0.0053
2023-11-03,0.0173,6,0.0018
2023-11-06,-0.0122,-0.0066,-2
2023-11-07,-0.0041,-12,-0.0005
2023-11-08,-0.0101,-0.0046,0.0004
2023-11-09,-0.0101,5,-3
2023-11-10,-0.0061,-0.0045,-0.0037
2023-11-13,0.0006,-0.0026,-0.0017
2023-11-14,0.0323,0.0119,-0.0024
2023-11-15,0.0013,5,5
2023-11-16,-15,-3,-0.0037
2023-11-17,0.0122,0.0062,0.0036
2023-11-20,-0.0011,-0.0028,-0.0031
2023-11-21,-0.0096,-0.0062,-0.0003
2023-11-22,0.0019,-0.0004,0.0001
2023-11-24,0.0063,0.0018,0.0023
2023-11-27,-0.0014,-0.0008,-0.0025
2023-11-28,-3,0.0005,0.0003
2023-11-29,0.0058,0.0069,-0.0006
2023-11-30,-4,0.0001,0.0018
2023-12-01,0.0223,0.0107,0.0057
2023-12-04,0.0151,5,0.0077
2023-12-05,-0.0105,-0.0085,-0.0041
2023-12-06,0.0036,0.0032,0.0027
2023-12-07,0.0009,0.0049,-0.0019
2023-12-08,0.0016,0.0053,-0.0008
2023-12-11,-0.0044,-0.0012,0.0064
2023-12-12,-0.0064,-0.0089,-0.0022
2023-12-13,0.0192,0.0135,0.0017
2023-12-14,0.0184,0.0203,0.0038
2023-12-15,-0.0059,-0.0057,-0.0035
2023-12-18,-0.0051,-0.0036,-0.0024
2023-12-19,0.0151,0.0068,0.0005
2023-12-20,-0.0035,0.0015,0.0009
2023-12-21,0.0074,-0.0002,-0.0017
2023-12-22,0.0061,1,2
2023-12-26,0.0083,0.0043,-0.0016
2023-12-27,0.0017,1,-0.0014
2023-12-28,-0.0038,0.0002,0.0015
2023-12-29,-0.0114,-0.0036,-0.0006
2024-01-02,-0.0026,0.0079,0.0064
2024-01-03,-0.0193,-0.0014,-0.0018
2024-01-04,0.0024,0.0009,0.0024
2024-01-05,-0.0059,0.0065,-0.0015
2024-01-08,0.0055,-0.0131,-0.0049
2024-01-09,-0.0075,-9,-0.0018
2024-01-10,-0.0029,-0.0044,-0.0018
2024-01-11,-0.0066,-0.0051,-0.0013
2024-01-12,-0.0021,-5,-0.0028
2024-01-16,-0.0087,-0.0064,-0.0027
2024-01-17,-0.0016,-0.0024,-0.0023
2024-01-18,-0.0027,-0.0034,-0.0024
2024-01-19,-0.0037,0.0065,-0.0027
2024-01-22,0.0183,0.0058,0.0009
2024-01-23,-0.0069,-0.0058,0.0021
2024-01-24,-0.0076,0.0002,-4
2024-01-25,2,0.0056,0.0052
2024-01-26,0.0032,-0.0022,0.0002
2024-01-29,0.0088,-0.0057,-3
2024-01-30,-0.0096,0.0085,0.0013
2024-01-31,-0.0089,-0.0031,0.0035
2024-02-01,0.0033,-0.0135,-0.0029
2024-02-02,-0.0157,-0.0051,-14
2024-02-05,-0.0094,-0.0066,-0.0015
2024-02-06,0.0077,-0.0049,0.0059
2024-02-07,-0.0102,-0.0062,-0.0081
2024-02-08,14,0.0003,-2
2024-02-09,0.0084,-0.0043,-0.0043
2024-02-12,0.0165,11,0.0044
2024-02-13,-0.0252,-0.0066,-0.0005
2024-02-14,0.0137,-2,-0.0018
2024-02-15,0.0123,0.0103,0.0026
2024-02-16,-0.0064,-0.0021,0.0017
2024-02-20,-0.0074,0.0041,0.0059
2024-02-21,-0.0064,0.0012,0.0019
2024-02-22,-0.0155,-0.0132,-0.0119
2024-02-23,0.0033,-0.0004,-0.0011
2024-02-26,0.0097,-1,0.0
2024-02-27,0.0124,-0.0044,0.0068
2024-02-28,-0.0089,-0.0001,0.0052
2024-02-29,-0.0016,0.0099,-0.0072
2024-03-01,0.0001,-0.0056,-0.0016
2024-03-04,-0.0061,0.0035,0.0024
2024-03-05,0.0005,0.0113,0.0056
2024-03-06,-0.0027,-0.0002,-0.0003
2024-03-07,-0.0048,0.0005,-0.0073
2024-03-08,6,6,0.0057
2024-03-11,-0.0063,4,0.0064
2024-03-12,-0.0116,-0.0068,-0.0077
2024-03-13,0.0035,-0.0004,0.0017
2024-03-14,-0.0146,-0.0107,-1
2024-03-15,0.0095,8,0.0042
2024-03-18,-0.0104,-0.0022,-0.0011
2024-03-19,0.0045,-0.0024,0.0008
2024-03-20,0.0104,0.0101,-0.0006
2024-03-21,0.0034,0.0097,0.0005
2024-03-22,-0.0099,-0.0052,-0.0036
2024-03-25,-0.0011,0.0087,-0.0017
2024-03-26,0.0011,-0.0016,0.0021
2024-03-27,0.0129,0.0092,0.0058
2024-03-28,0.0047,0.0046,0.0007
2024-04-01,-0.0091,-0.0027,-0.0031
2024-04-02,-0.0103,0.0004,0.0002
2024-04-03,0.0033,-0.0004,-0.0019
2024-04-04,2,0.0018,1
2024-04-05,-5,-0.0069,-0.0059
2024-04-08,0.0054,0.0014,1
2024-04-09,0.0031,-0.0033,0.0005
2024-04-10,-0.0156,-0.0104,-0.0045
2024-04-11,0.0005,-0.0062,-0.0054
2024-04-12,-0.0038,0.0013,-0.0022
2024-04-15,-0.0024,0.0075,0.0042
2024-04-16,-0.0028,-0.0082,-0.0026
2024-04-17,-0.0037,0.0055,0.0054
2024-04-18,-1,0.0086,0.0029
2024-04-19,0.0125,19,13
2024-04-22,-0.0012,0.0055,0.0
2024-04-23,0.0058,-0.0001,-0.0063
2024-04-24,-3,0.0028,-0.0002
2024-04-25,-0.0039,-2,-0.0009
2024-04-26,0.0022,-0.0109,-0.0045
2024-04-29,0.0034,-0.0049,-0.0012
2024-04-30,-0.0027,-0.0026,0.0063
2024-05-01,0.01,-0.0003,-0.0002
2024-05-02,7,0.0002,-0.0077
2024-05-03,-0.0004,-0.0022,-0.0055
2024-05-06,-0.0002,-0.0005,-0.0069
2024-05-07,0.0004,-0.0065,2
2024-05-08,-0.0041,0.0059,0.0016
2024-05-09,0.0051,0.0039,0.0008
2024-05-10,-0.0091,0.0001,-0.0006
2024-05-13,0.0025,-0.0026,0.0024
2024-05-14,0.0051,0.0004,-0.0002
2024-05-15,-0.0047,-0.0021,-0.0038
2024-05-16,-0.0022,-0.0001,0.0039
2024-05-17,-0.0023,0.0041,-1
2024-05-20,0.0016,-0.0088,-0.0066
2024-05-21,-0.0043,0.0019,-0.0031
2024-05-22,-4,-0.0038,-0.0005
2024-05-23,-0.0067,-0.0064,-0.0064
2024-05-24,0.0013,0.0023,-0.0034
2024-05-28,1,-0.0083,-0.0107
2024-05-29,-0.0038,-0.0066,-0.0004
2024-05-30,0.0164,0.0042,7
2024-05-31,-1,0.0095,0.0091
