date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2003-12-02,2.6902,36.8852,43.6632,43.72,18.8249,18.2725,23.2322,16997,5.3874,34.5672
2003-12-03,2.5695,36.9034,44.2572,44.98,18.4797,18.2984,23.2786,16.5815,5.2639,34.2246
2003-12-04,2.5839,37.0447,44.0738,45.26,16.7109,18.2532,23.5506,16.5664,5.1303,34.1675
2003-12-05,2.5719,36.7895,43.3845,49.21,17.1385,18.9828,23.3848,16.4909,5.1492,33.7514
2003-12-08,2548,37.3409,43.3258,51.19,16.7109,19.3056,23418,16.7968,5.3206,34.0288
2003-12-09,2.4612,37.3728,42.2991,49.2,16.5083,19.5962,24.5855,16.0074,5.1092,33.7676
2003-12-10,2.4542,36.8806,40.5538,49.43,16.7789,19.6543,24.5922,14.8629,5.0056,33.9472
2003-12-11,2534,37.0173,41.0598,51.85,17.0433,19.5703,25.2224,15.3955,5.1359,34.3304
2003-12-12,2.54,37.1221,41.2505,49.01,16.6575,19.9513,25.2357,15.6146,5.0902,34.6322
2003-12-15,2.5146,37.3636,40.6711,47.75,15912,20.2095,25.4811,15.5655,4.9956,34.1348
2003-12-16,2.4692,37.8102,41.4338,47.88,16.1421,20.1127,25.2357,15.7052,4753,34.3551
2003-12-17,2.3734,38.0289,41.4631,46.27,16.5966,20.1644,25.0566,16.1245,4.5804,33.7841
2003-12-18,2.4318,38.0152,43.4798,44.1301,16.5216,20.3387,25.1229,16.4833,4.8454,33.8819
2003-12-19,2.4562,38.3068,43.7878,46.3,16.0608,20.3581,25.9521,16676,4.7196,33.1966
2003-12-22,2.4886,38.8445,44.3818,47.62,16.2709,20.4162,26.1114,16.6948,4.8042,34.1348
2003-12-23,2.6178,38.5529,44.4918,51.87,16.3728,20.7261,26.0981,16676,4.9633,35.8067
2003-12-24,2.6597,38.3843,44.4772,52.06,16.3049,21.3072,25.7929,16.4946,4.9032,36.0678
2003-12-26,2.6672,38.3706,44.3158,57.91,16.3728,21.2362,25.8195,16.5626,4.8654,35.9619
2003-12-29,2.6672,38.5028,45.1005,53.72,16.7386,21.2039,26.0848,16.8535,5.0491,36.1412
2003-12-30,2.6353,38.4025,44.7925,54.46,16.8536,21.2555,26.0516,16.5022,5.0435,36.3859
2003-12-31,2.6248,38.7443,44.9465,52.69,16.7386,21.2555,26.3568,16.3398,5.0802,36076
2004-01-02,2.5889,37.9879,44.1692,51.52,16359,21.3007,26.4165,15.7015,5.2383,36.0925
2004-01-05,2.6572,38.7124,45.8339,52.5,16.0138,21.5332,26.8212,15.3615,5.6012,37.4545
2004-01-06,2.6453,38.5939,46.7212,52.3,16.5625,21.4234,27.0335,15.6486,5649,36.9732
2004-01-07,2.5889,37.9286,46.8679,54.5,16.8671,21714,27.0866,15.5995,5.8349,36704
2004-01-08,2.5061,37.6735,47.5425,58.14,16.5287,22237,27.3585,15014,5747,36.7121
2004-01-09,2.5734,37.5459,46.9485,58.25,17.0094,22.0497,27.2192,15.2029,5.6768,36.1738
2004-01-12,2.6413,37.8968,47.0879,57.01,17.2734,21.8237,27.2259,14.7307,5.8305,36.3287
2004-01-13,2.7391,37.7646,47.1685,55.44,17.3346,21.7914,27.0799,14.5948,5.6089,35.9292
2004-01-14,2.7835,38.1383,47.5132,54.5,17.3684,21.7462,28.0485,14878,5.7336,36.3778
2004-01-15,2.8024,38.4116,49.2072,53.2,17.5312,21.9012,28.4399,15.0763,5.8549,36.5898
2004-01-16,2.7795,38.9493,49.3319,52.01,17.4431,21.8366,28.9573,15099,5.9073,36.6878
2004-01-20,2.8239,36.6391,49.7939,55.89,17301,22011,29.1232,15.1387,5.7392,36.2148
2004-01-21,2.8034,37.2497,51.2239,55.75,17.68,22.1724,28.9905,16.1528,6.1722,36.6225
2004-01-22,2.8523,37.4138,54.3773,57.29,17.4229,21.9787,29.0502,16.1981,6.1944,37.2015
2004-01-23,2.8488,37.3454,54.3113,56.46,17673,21.9529,28.9905,16.1811,6.3069,37.9601
2004-01-26,2.8448,37.5778,54.0106,57.51,17829,22.3209,29.4217,16.3228,6.2067,38.0744
2004-01-27,2.7805,37.4092,53.6879,60.15,17.5177,22.6115,28.8711,16.4588,6.2623,37.2588
2004-01-28,2.5919,36.4523,51.6272,62.23,17.1385,22.8181,28.3536,15.7222,6.0431,36.9078
2004-01-29,2.4552,36.2336,51.0406,62.91,17301,22.2434,29.4482,15.6599,6013,36.9078
2004-01-30,2.5141,36.0377,52.1259,61258,17.5447,22082,29.4682,15.9205,6.0175,36.4185
2004-02-02,2.4048,35541,52.4193,64.9399,17.9919,21.5009,29.7733,16.2831,5.9774,36296
2004-02-03,2.2417,35.9511,52.6173,62.39,17.7415,23.2765,29.1895,16.5438,6.0264,36.4023
2004-02-04,2.2642,36.2017,51.7519,61.76,17301,23.6122,28.7583,15.9319,5.7692,36.1576
2004-02-05,2.2966,35.9967,51.0772,60.17,18.5945,23.7866,29.1033,16.2321,5.8828,36.5572
2004-02-06,2.3121,36.3658,52.5366,60.91,18.5606,24.0771,29.3421,16997,5.8995,37.2504
2004-02-09,2.2876,36.1744,53.0426,63.14,18.8996,24.2127,29.1365,17.0537,5.7826,37.6257
2004-02-10,2.2741,37.0219,52.8593,63.67,18.5136,23.7414,29.0966,16929,5.3986,37.6584
2004-02-11,2.3515,37.0902,54.4139,64.89,18.5404,23.8318,29.2559,17.3086,5.7959,38.0254
2004-02-12,2.3475,36.8989,53.9006,63.95,18.7507,23.9286,29.0436,17.4446,5.7759,34.9669
2004-02-13,2.3136,36.3065,53.5706,63.64,19.1706,23.8253,29.4748,17252,5.58,34.9992
2004-02-17,2.2712,36.5981,52.8813,59.99,19.1027,24.2708,30.2775,17.7789,5.5099,35.1382
2004-02-18,2.2382,36.2974,52.5439,55.04,20.8571,24387,29.9259,17.4446,5.4787,34616
2004-02-19,2.2273,36.0422,52.9839,58.9,20.0306,24.6066,29.7202,17.2803,5.2861,34.5426
2004-02-20,2.2532,36.3156,52.1553,57.95,20.1387,24.4064,29.5544,17082,5.4175,33.8491
2004-02-23,2.1933,36.6528,51.3266,66.7,19848,24.3031,29.3753,16861,5.3218,33.5962
2004-02-24,2111,36.2154,50.3512,69.63,20.3357,24.0061,29.7866,17.0027,5206,33.1966
2004-02-25,2142,35.8007,51.8986,68.82,20.7623,24.4387,29.9524,17.2576,5.3351,33.4333
2004-02-26,2.1774,35623,52.0673,68.58,21.2702,24.7938,29.7866,17.5352,5.3418,33.2781
2004-02-27,2.1455,35.5501,51.8619,68.7,21.3587,25.2135,29435,18.0112,5.2617,34.0857
2004-03-01,2.1435,35.8964,52.2286,67.87,21.6703,25.7623,30.0188,18.6231,5.2995,34.0449
2004-03-02,2.0956,35.6823,52.0673,65.26,21.5618,25.4008,29.9989,18.6344,5.1158,33.9308
2004-03-03,2.1534,35.9739,52.2873,63.37,21.7374,25.1812,30.1249,18657,5.0312,34.3793
2004-03-04,2.2143,35.9466,53.8273,64126,21182,24.9875,30251,19.4162,5.0947,34.5344
2004-03-05,2.1958,35.8418,54.1059,65.17,21.8463,25.4008,30.2576,19.9318,5.1604,34.8605
2004-03-08,2.1699,35.3907,54.5679,63.42,21514,25.5428,30.0121,19.7165,4.9756,34.4285
2004-03-09,2.1305,35.4727,53.3946,62.03,21.4396,25.2523,30.0121,19.8242,4822,34.3385
2004-03-10,2.0726,34.6297,54.1499,64.9,20.9587,25.1683,29.4615,19.1953,4.7018,33.7269
2004-03-11,2.0592,34.3335,52.6979,65.87,20.4779,24.8971,28.1679,19.2179,4.7752,33.7106
2004-03-12,2117,34.73,53.9006,65.03,20.9587,25.3104,28.4863,19.4729,4.8754,34.3713
2004-03-15,2.0492,34.1148,53.3653,66.72,20.6538,25.3168,27.5111,19.5352,4.7786,33.6861
2004-03-16,2.1011,35.9101,53.3359,67.13,20.7962,24.7745,27.1396,19.6542,4.8376,33.8655
2004-03-17,2135,36.2518,53.7833,68.3,21.1146,25.0134,28274,19.5806,4.9455,33.8248
2004-03-18,2.1455,36.3977,54.1426,68.04,21.1211,25.5105,28.3072,19.9148,4.8687,34.0779
2004-03-19,2135,36343,53.0939,68.17,21.6365,25.4718,28.2011,19.5239,4.8865,33.6861
2004-03-22,2.0377,36.3202,52.5806,68733,21304,24.9875,27.8428,19.15,4.7407,32.9032
2004-03-23,2.0068,36.2701,52.6173,71.83,21.9139,25.0327,28.0617,19.3426,4665,33164
2004-03-24,1.9808,36.1926,52.4266,71.36,22.0291,25065,28.4266,19.1273,4.6884,32.6911
2004-03-25,2.0946,36.9171,52.9473,70.54,22.8826,25.0069,28.8114,19.5182,4.9322,33.27
2004-03-26,2.0801,36.4432,54.0106,71.29,22.8282,24.8907,29.1033,19.7052,4.9567,32.8135
2004-03-29,2133,36.8169,54.7733,70.94,22.9367,25.3426,29.5743,19.6882,5.0925,33.0907
2004-03-30,2.1849,37.2178,55.5726,71.04,22.7472,25.7623,29.6473,20.2378,5.0524,33.0745
