Date,SSD ALL,SP500,Risk free rate,HML,CMA,SMB
2024-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2024-01-03,0.9977699208333197,0.9919836892323003,1.0001520991941684,0.9986,0.9982,0.9807
2024-01-04,0.9965287007536403,0.9885827873108927,1.0003074292040883,0.9994987399999999,1.00059568,0.9830536799999999
2024-01-05,0.9989637741653113,0.9903876168787915,1.000464729902113,1.0059954818099999,0.99909478648,0.9772536632879999
2024-01-08,1.00765777509228,1.0043665700780637,1.0006205284592433,0.9928169409982889,0.994199222026248,0.982628558436084
2024-01-09,1.0081276144469336,1.0028822242652125,1.0007770003734513,0.9838815885293043,0.9924096634266008,0.9752588442478134
2024-01-10,1.0106442870571775,1.0085645277489488,1.0009339167680553,0.9795525095397754,0.9906233260324329,0.9724305935994947
2024-01-11,1.0161817588019177,1.0078877166609868,1.0010888333471344,0.9745567917411225,0.9893355157085907,0.9660125516817379
2024-01-12,1.024321008051216,1.008644627603253,1.0012427420402086,0.9696840077824169,0.9865653762646066,0.9639839253232063
2024-01-16,1.0251434238774395,1.004881030842745,1.0014011063760382,0.9634780301326095,0.9839016497486921,0.9555972651728943
2024-01-17,1.0241034758720091,0.9992367215515477,1.0015610231298784,0.9611656828602912,0.9816386759542701,0.9540683095486177
2024-01-18,1.0295195457411757,1.0080352446105965,1.0017224161129985,0.9578977195385663,0.9792827431319799,0.9514923251128363
2024-01-19,1.033191252096712,1.020447706950329,1.0018839114531062,0.964124054715567,0.9766386797255235,0.9479718035099188
2024-01-22,1.0349771554590916,1.022686897428605,1.0020434469370743,0.9697159742329172,0.9775176545372765,0.9653196875141503
2024-01-23,1.0415538565172655,1.025674543981662,1.0022048412828408,0.9640916215823663,0.9795704416118047,0.9586589816703026
2024-01-24,1.0422172118517654,1.0265073168022611,1.0023676363862941,0.9642844399066828,0.9756521598453575,0.9513731734096083
2024-01-25,1.0522419453783272,1.0319071307234895,1.0025287009231354,0.9696844327701603,0.9807255510765535,0.9532759197564274
2024-01-26,1.050515393723328,1.0312345365270412,1.0026908610890786,0.9675511270180659,0.9809216961867687,0.9563264026996481
2024-01-29,1.0535055324550506,1.0390273520445104,1.0028504103749303,0.9620360855940628,0.9779789310982084,0.9647420750434049
2024-01-30,1.0601471431250613,1.0384032521004707,1.0030087612553062,0.9702133923216123,0.9792503037086362,0.9554805511229881
2024-01-31,1.0679974270849666,1.0216789971034386,1.003163616089134,0.9672057308054153,0.9826776797716165,0.9469767742179935
2024-02-01,1.0844671255036706,1.0344435277156567,1.00331451015932,0.9541484534395422,0.9798279145002787,0.950101797572913
2024-02-02,1.0831365261388064,1.0454960003732794,1.0034719392531737,0.9492822963270006,0.9661103236972748,0.9351851993510183
2024-02-05,1.083466628789393,1.0421646982463066,1.003634404930604,0.9430170331712423,0.9646611582117289,0.9263944584771188
2024-02-06,1.0800589591790857,1.0445725222162185,1.0037940660864462,0.9383962497087032,0.9703526590451782,0.9335276958073926
2024-02-07,1.0839842340601606,1.0531813273260622,1.0039545180489609,0.9325781929605093,0.9624928025069123,0.9240057133101572
2024-02-08,1.0796516810606773,1.0537822554512337,1.0041172913693783,0.9328579664183974,0.9605678169018984,0.9369417932964994
2024-02-09,1.0797609573883657,1.0598334315201383,1.004280741397839,0.9288466771627982,0.9564373752892202,0.9448121043601899
2024-02-12,1.0774829443149978,1.0588276818096436,1.0044436441354077,0.939063990611589,0.9606456997404927,0.960401504082133
2024-02-13,1.075239298062058,1.0443490058815306,1.0046120802094434,0.9328661682735524,0.9601653768906225,0.9361993861792632
2024-02-14,1.0851085921279668,1.0543536231668935,1.0047786711850577,0.9310004359370053,0.9584370792122194,0.9490253177699192
2024-02-15,1.0926227963190005,1.0604912876807457,1.004944256989268,0.9405897404271565,0.9609290156181711,0.9606983291784892
2024-02-16,1.088590381333876,1.055397240563182,1.0051119739918928,0.9386145019722595,0.9625625949447221,0.9545498598717469
2024-02-20,1.0830975737368502,1.0490592526179674,1.0052789539271079,0.9424628214303458,0.9682417142548959,0.947486190908696
2024-02-21,1.0821831173109877,1.0503854649990518,1.0054478742915947,0.9435937768160623,0.9700813735119802,0.9414222792868804
2024-02-22,1.104987325368489,1.072572639698816,1.005616899541743,0.9311383389620903,0.9585374051671877,0.9268302339579337
2024-02-23,1.1123347669416799,1.0729458345977856,1.0057833891828565,0.9307658836265055,0.9574830140215038,0.929888773729995
2024-02-26,1.1137220110866757,1.0688828596242568,1.0059513993260691,0.929835117742879,0.9574830140215038,0.938908694835176
2024-02-27,1.110668429087338,1.0707067495417977,1.0061200499632545,0.9257438432248103,0.9639938985168499,0.9505511626511322
2024-02-28,1.1081317990512567,1.0689313538766652,1.0062871590757092,0.9256512688404879,0.9690066667891376,0.942091257303537
