date,03B8CF,06EF42,07EC43,0157B1,0624BE,055018,061366,063384,067779,095294
2023-05-25,74.0694,103.9143,59.9626,115.0,28.56,96.0055,200.94,87.4852,10.9495,24.21
2023-05-26,73.9854,103.8267,60.6571,120.11,29.95,98.8207,201.77,88.1301,11.2282,24.75
2023-05-30,73.3138,104.4883,60.2423,121.66,31.4,100.6078,202.4,87.7936,11.3278,25.26
2023-05-31,71215,103.9532,60.2809,120.58,31.03,100.1274,202.96,86.5787,11.1785,25.03
2023-06-01,71.9553,105.5489,59.9915,122.77,30.31,102.0779,208.74,85.0647,11.7956,24.79
2023-06-02,78.2518,108.9932,61506,124.25,31.8,106.1614,206.74,86.2422,12.1241,25.7
2023-06-05,74.7792,108.4095,59133,125.3,31.6,104.7297,203.67,85.7376,12.2435,25.08
2023-06-06,75.0158,112.1554,59.9722,126.61,32.73,107.6314,196.82,86.3824,12.7114,25.67
2023-06-07,77.0841,110.8711,60387,121.23,33.75,109.0919,191.76,88.0273,12.9702,26.71
2023-06-08,76.9009,110.2095,60.0976,124.25,34.95,107.2567,192.33,85.2142,12.6915,26.32
2023-06-09,76.2445,110.9295,59.8565,123.43,34.24,107.1222,192.0,87.4946,13.0299,26.12
2023-06-12,77.2825,112.9241,61.0816,126.57,34.39,107.4489,196.24,87.6535,14.6524,26.62
2023-06-13,78.4121,112.6516,61.9594,126.66,34.99,109.1976,195.99,89.8777,15.2696,27.16
2023-06-14,77.8091,110.5306,61.4578,126.42,35.59,107.9293,193.03,89.0833,15.5284,26.95
2023-06-15,79.2287,112.2916,62.4514,127.11,36.24,107.2759,192.88,88.0366,16046,27.7
2023-06-16,79.7858,113.2549,62.7794,125.49,36.08,105.7578,188.99,90.1207,15.7275,27.44
2023-06-20,78.0762,115123,62.3549,125.78,36.24,104845,186.1,87.3918,15827,27.35
2023-06-21,77.4428,115.7457,60.9465,124.83,36.9,104038,184.58,85.8123,15.8171,27.1
2023-06-22,76649,116.3976,60387,130.15,37.21,102.7216,187.08,87.1675,15.6877,26.81
2023-06-23,76.8704,117.1468,59.8468,129.33,36.93,102.4238,184.52,87.8871,15.7275,25.85
2023-06-26,76.6338,116.6506,60252,127.33,37.18,102.0587,178.55,86803,14533,26.09
2023-06-27,74.9929,119.7252,60.8983,129.18,37.47,104.4415,182.73,86.3637,15.8171,26.16
2023-06-28,75.2295,118.8982,61.1298,129.04,36.7,104.9796,184.22,85803,17.2106,26.06
2023-06-29,75.7408,117.0884,62.2585,127.9,37.85,104.9796,184.01,86.7376,17.0812,26.23
2023-06-30,76.3896,118402,62.9723,130.36,37.68,105.0853,190.09,88.1768,18.7436,26.72
2023-07-03,77.1909,116923,63.2424,130.22,37.29,106.6994,191.39,90.7656,18873,27.1
2023-07-05,75.2753,116.0668,63.2135,130.38,36.12,104845,186.95,92.0179,19.1218,26.5
2023-07-06,73.5046,111.7565,62.4224,128.36,35.52,103.0579,183.14,91859,18.7734,26.25
2023-07-07,74.2526,112.2722,63.0302,129.78,35.54,103.8074,189.14,94.3824,18.9526,27.22
2023-07-10,74.1763,115.9695,64.2842,127.13,35.32,105.1621,190.82,93.6254,19.2114,27.58
2023-07-11,77.7862,116.1836,64.8051,128.78,35.8,107.8044,189.62,95.4291,18.8132,27.57
2023-07-12,77.5191,120.3674,64.7955,130.8,35.3,108.3232,194.96,94074,18.1364,27.82
2023-07-13,78.5036,123.0431,65.2971,134.3,33.98,109.7068,196.95,93.9712,17.6685,28.3
2023-07-14,78.0762,126.7891,66.1749,134.68,34.91,107.1798,191.3,93.1487,17.1509,27.73
2023-07-17,77.6183,124.5901,66.0206,133.56,37.42,108.9862,206.71,95.0553,17.6287,27.96
2023-07-18,78.6181,124.4247,66.7248,132.83,37.16,111.5228,201.57,96.2422,18.1662,28.3
2023-07-19,78.9768,124.3955,66.6476,135.36,37.03,113.3387,198.58,97.13,18.0667,28.19
2023-07-20,79595,122.0312,64.4,129.96,36.33,110.4851,198.5,98.6814,17569,27.97
2023-07-21,79.6256,124.1328,64.4482,130.0,36.06,111.0424,197.91,97.9805,17.7979,27.91
2023-07-24,79.5798,126.4972,65.0656,128.8,37.21,112.6277,197.66,99.1393,17.7681,27.73
2023-07-25,83.8232,127.4604,65.4418,129.13,37.7,110.0239,200.01,100.9337,17.3699,28.49
2023-07-26,85.9678,125.1642,65.3646,128.15,38.71,109.5723,197.41,101.6346,17569,28.38
2023-07-27,84.8612,123.6171,63.9466,128.25,38.96,109.5531,198.8,100.7935,18.1364,28.01
2023-07-28,85.3878,124.1036,63.4353,132.21,39.98,110.3506,208.4,101.2702,18.4051,27.7
2023-07-31,85.0978,123.5879,63.6958,133.68,39.61,112.4356,207.4,101.5599,18.7535,27.65
2023-08-01,84.3804,124.4636,63.5221,131.69,39.5,111.9167,202.68,101.3262,17.9074,27.65
2023-08-02,83.1211,122.3425,63.0302,128.21,38.92,108.8132,194.28,105.5038,17.6387,27.07
2023-08-03,81.8083,119.8225,67.9788,128.91,39.0,108.4962,196.24,106.9056,17.4794,19.1
2023-08-04,80.5261,122.5621,68.4901,139.57,39.23,109.5201,194.38,107.2047,17.0812,19.32
2023-08-07,80.3124,124.2976,68.8084,142.22,39.45,111.3457,195.6,108.3916,17.9572,19.35
2023-08-08,79.4653,124.3366,67.7762,139.94,39.66,110.6889,196.1,106.6253,17.8377,20.04
2023-08-09,79.1524,122.9034,67.4676,137.85,39.93,108.0035,203.6,105.3262,17.1907,20.08
2023-08-10,79.2974,120.3587,68.5673,138.56,40.29,106.7768,205.01,104.8028,17.2803,20.26
2023-08-11,79.7935,119.9298,67.6026,138.41,39.44,106.6222,204.87,104.8869,16.7129,20.42
2023-08-14,78931,120193,68.5865,140.57,41.36,105.4438,211.43,105.4944,16.7528,20.53
2023-08-15,77.1909,123.6639,66.9274,137.67,41.43,103.2704,199.83,104.2982,16.5338,20.34
2023-08-16,76.9238,119.6178,66.7827,135.07,41.96,101.3481,191.89,103.9804,16.1057,20.43
2023-08-17,77.6946,113.5828,66638,133.98,41.11,101493,183.44,104.4223,15.7275,20.33
2023-08-18,77.47,114.3725,66.6476,133.22,43.2,101464,181.91,105.7949,15.5184,20.25
2023-08-21,76.8348,113.0368,66.6089,134.68,41.76,100.8361,181.7,106.2274,15.6379,20.36
2023-08-22,76.3081,114197,67.4129,134.25,41.17,96.8854,176.5,104.7231,15.5881,20.37
2023-08-23,77.1911,114.9087,68.2557,135.52,50.86,98.1604,180.58,105.4094,16.1754,20.9
2023-08-24,76.3003,113.7778,67.8392,131.84,50.46,98.0252,174.42,105.3812,15.6379,20.64
2023-08-25,76.6489,112.0618,67.8682,133.26,50.16,97.4167,177.45,105.9641,15827,20.5
2023-08-28,80.6537,112.7248,68.4107,133.14,49.51,98.1315,176.76,106.7633,15.6379,20.59
2023-08-29,81.7769,114.2945,69.1663,134.91,51.32,99.9958,181.61,107.0641,15.9664,20.78
2023-08-30,80.9093,116.0202,69.2535,135.07,52.29,99.0684,184.96,107647,15.7972,20.52
2023-08-31,82629,116.0397,69.3697,138.01,53.75,98.9042,189.12,107.4778,15.7474,20.74
2023-09-01,82.8459,117.1706,69486,138.12,54.5,99.9764,186.37,108.1359,15.6578,21.11
2023-09-05,82.7684,111.4184,68.7498,137.27,54.85,98.2764,186.48,106.3214,15.2995,21.17
2023-09-06,82.3966,112.7346,69.0694,135.36,54.98,98.0059,182.09,104.1778,15.3592,21.02
2023-09-07,82.0713,114.1775,69021,137.85,54.61,96.5183,180.5,105.7291,15.2298,20.4
2023-09-08,82.2959,114.3725,69.1082,138.23,53.32,96.5183,183.21,105.6539,15.2298,20.55
2023-09-11,83574,114.9282,69.0985,143.1,53.4,96.6246,179.37,107.9948,15.4089,20.42
2023-09-12,83.0086,111.7693,67936,141.23,52.26,97.6099,180.94,107.5624,15389,20.41
2023-09-13,78.2756,111.0089,68.4882,144.85,50.64,96924,170.5,106.3778,14.9511,19.98
2023-09-14,79.2594,112.3153,68.7498,144.72,51.26,98.7787,177.0,108.3991,15.5583,20.69
2023-09-15,78.2834,109.5562,67.9748,140.39,52.4,100.9038,174.05,105.6821,15.1203,20.69
2023-09-18,78.2679,110.3557,68.0232,139.98,50.89,99.0878,167.74,107.1111,14971,20.27
2023-09-19,77.6404,110.7456,67.8973,137.63,50.58,98.2281,169.18,106.1146,15.0207,20.47
2023-09-20,76.6799,110.3654,67.3354,135.29,50.25,97.1365,169.24,105.8513,14.5828,20.55
2023-09-21,75518,106.3193,67.0448,129.33,49.32,95562,166.24,106453,14.3837,20.39
2023-09-22,75.1694,106.5631,67.4323,129.12,50.63,94.9245,162.45,103.7924,13.9855,20.3
2023-09-25,73.4265,105.4614,67.5486,131.27,51.76,94.5478,164.34,104065,13.8362,20.5
2023-09-26,72.7216,104.7691,66.4927,125.98,52.84,93.7943,161.39,102.4386,13.6968,20.29
2023-09-27,72.3962,104.3304,66.0664,125.98,54.56,92.2391,158.61,103.0121,13.9158,20.35
2023-09-28,72.2413,106.1926,65.7177,125.98,56.05,93.7074,161.5,103.9898,14.3737,20.47
2023-09-29,72.5202,104.7789,65.6208,127.12,56.37,93746,161.59,101.7711,13657,20.83
2023-10-02,69.8864,103.5212,65.6402,129.46,58.31,91.8817,156.34,100.3044,13.5774,21.15
2023-10-03,68.7787,100.2746,65.1946,124.72,55.49,89.8822,151.25,99.4019,12.6815,21.16
2023-10-04,68.1823,101.7565,65.4271,127.0,55.13,89.4572,151.82,98.2643,13.0299,21.15
2023-10-05,68.0351,101191,65.5821,125.96,54.54,88.9742,145.35,97625,13239,21.24
2023-10-06,68.4766,101.6883,65.7177,127.96,55.01,90.3555,148.56,96.9481,13.1991,21.37
2023-10-09,68.9801,103.4529,66047,128.26,56.88,91.1186,143.8,99.1763,12.6318,22.04
2023-10-10,70.2118,104.5156,65.7371,129.48,59.77,93.6784,151.56,98.2361,12.8408,22.2
2023-10-11,70.0181,105.9488,66202,131.83,61.5,93.8136,151.5,95.8857,12.5919,22.44
2023-10-12,68.9569,99.7871,63.8965,132.33,61.74,93.6108,149.39,95.2182,12.5422,22.2
2023-10-13,68.6935,101.0643,63.7221,129.79,60.39,91959,147.92,96055,12.2037,21.68
2023-10-16,69.6696,101.9028,64.6812,132.55,62.72,93.8426,151.29,97.1455,12.3033,22.25
2023-10-17,70.1421,102.3025,65.0686,131.47,62.98,94.7023,158.06,98.8284,12.4426,20.89
2023-10-18,68.4766,99.8748,63.9643,128.13,63.24,92.6642,153.13,99007,11.6363,20.91
2023-10-19,67.4386,98.7049,63.3928,128.4,60.66,89.5441,151.97,97.4464,11.3377,20.58
2023-10-20,67.0436,98.1394,63.6834,125.17,60.9,87.1582,150.77,95.5191,10.9794,20.33
2023-10-23,66.3077,99.5629,62.9859,126.56,59.97,87.3031,151.32,95.3687,11.3278,19.5
2023-10-24,69809,99.2119,63.1118,128.56,62.35,86.1633,155.9,94.6917,11.3974,19.89
2023-10-25,69.2435,98.1394,62085,121.39,61.58,85.9411,151.36,96.0644,11.2183,19.47
2023-10-26,68.6703,99.1046,61436,119.57,59.85,86.4627,151.15,100013,11.3178,19.66
2023-10-27,67795,99.1534,61.3197,127.74,58.72,94.4125,143.26,99.1104,11.0789,19.55
2023-10-30,69.3442,99.5726,61.7556,132.71,59.61,97.1172,136.32,100.0882,11.3477,19.67
2023-10-31,70.4519,101.7858,62.4531,133.09,60.82,97.8417,142.45,99.6369,11.4074,20.17
2023-11-01,70.1498,106.5631,62.9278,137.0,62.13,96.8564,142.84,99.7121,11.2481,20.29
2023-11-02,71.5054,111.1746,61.6588,138.07,63.31,101.0873,147.59,99.1575,11.8454,22.31
2023-11-03,72.7061,115.8837,64.1968,138.6,65.5,102.7004,151.94,99.7121,12.4924,22.3
2023-11-06,72.4427,114.7722,64.2065,139.74,66.27,101.8601,146.97,99.1104,12.2037,22.11
2023-11-07,72.1561,118.1358,63.7124,142.71,67.81,101435,144.33,98.3583,12.5024,21.8
2023-11-08,71.5132,118.7598,63.4703,142.08,67.92,101.5027,137.83,96.6097,12.7313,21.8
2023-11-09,71.0329,117.6581,62.6275,140.6,66.75,100.9327,132.53,97.6532,12.2535,21.54
2023-11-10,71.8927,119.6275,63.8868,143.56,66.97,101.6031,133.92,98.2737,12.7014,21.86
2023-11-13,71.7998,119257,63.6253,142.59,66.39,101.3991,133.84,97.8506,12.7213,21.66
2023-11-14,73.5659,125.6723,65.2721,145.8,68.68,103.9639,149.14,99.8438,13.8262,22.6
2023-11-15,74999,124.6973,66.2698,143.2,69.8,102.9827,152.42,100.3984,14.5031,22.93
2023-11-16,75.3058,124.4341,66.3377,142.83,68.98,102.0209,154.51,100.2092,14742,22.49
2023-11-17,75.0147,124.8533,67.3548,145.18,73.57,104.6149,155.02,101.0323,14.7221,22.74
2023-11-20,74.7314,125.4787,67.8996,146.13,72.29,104.0999,159.29,101.8837,14.5031,23.0
2023-11-21,73.9525,123.8663,68.3373,143.9,74.03,102.7689,158.6,102.3567,14.1348,22.95
2023-11-22,75.0383,124.1301,68.9502,146.71,72.81,103.7308,159.72,103.6243,14.4036,23.06
2023-11-24,75.4946,124.5797,69.2323,146.74,73.31,103.5365,154.38,102.1769,14.3439,23.07
2023-11-27,76.3759,123.3972,68.8432,147.73,76.4,103.1576,154.65,101.7323,14.5529,23.08
2023-11-28,77.5089,123.0943,69.3587,147.03,77.73,105.4892,155.02,102.5553,14.5628,23.04
2023-11-29,77.4774,124.3647,68.2108,146.32,76.13,106.9951,155.43,102.2621,14.8416,23.33
2023-11-30,77.9495,124.7654,68.4638,146.09,75.89,108.4816,157.78,103.9365,14.9909,23.13
2023-12-01,78.5632,127.8828,68.8918,147.03,77.88,110.6869,160.29,103.3121,15.6877,23.64
2023-12-04,81.3879,127.5212,69.2225,144.84,77.22,111.6682,159.54,101.9215,16275,23.86
2023-12-05,80011,127.7557,68.2206,146.88,77.73,112.0374,155.39,100.3701,16.4243,23.46
2023-12-06,80.8764,130.5702,68.2108,144.52,77.13,110.5315,145.29,98.5821,17.3998,23.44
2023-12-07,81262,133.2381,68.5027,146.88,77.94,112.0957,144.18,98.4781,17.8477,23.6
2023-12-08,81.3328,135.3099,68.4151,147.42,78.65,114.7285,145.38,98.8565,18.0269,23.76
2023-12-11,81.1676,135.7399,69.7284,145.89,81.63,115428,146.11,99.3295,17.5491,23.73
2023-12-12,80.6955,136.6194,70.0883,147.48,83.52,116.8659,139.9,98743,17.7382,23.44
2023-12-13,81978,140.89,71.1875,148.84,83.75,121.5293,146.56,99.4525,18.1861,23.97
2023-12-14,84.2204,149.6461,72.6467,147.42,83.82,125.5223,158.25,99.6227,18.6938,24.97
2023-12-15,84.1732,146.6948,74.0961,149.97,84.17,125.9886,168.67,99.1214,18.5246,24.72
2023-12-18,83.2998,145.2192,73.8335,154.07,86.67,126.2801,165.94,98.1281,18.2757,24.58
2023-12-19,83.5988,146.8219,73.3763,153.79,90.96,127.7762,172.66,99.5849,18.6241,25.03
2023-12-20,81.5688,145.9912,72.0144,152.12,89.89,124.0941,164.6,96.0942,17.9871,21.99
2023-12-21,83.0559,146.9098,72.1409,153.84,93.19,125.9498,170.04,95.7631,19.1019,22.6
2023-12-22,83.6618,146.5287,73.1039,153.42,92.58,126.0469,170.39,96.1509,18.8431,22.82
2023-12-26,85.0623,147.2812,73.4152,153.41,91.56,127.0087,171.94,96955,18.5246,22.99
2023-12-27,85558,148.2975,73.5416,153.34,91.39,127.4168,172.44,96.5009,18.4549,22.85
2023-12-28,86.3054,148.5223,73.7751,153.38,90.01,128262,173.22,96132,18.5843,23.04
2023-12-29,86.0143,148.5223,73.4736,151.94,88.22,127.3876,172.28,95.4982,18.4549,22.87
2024-01-02,86.5494,146.47,72.3743,149.93,90.96,128.3494,172.16,96.0185,17.2106,22.83
2024-01-03,84.8105,144584,71.6642,148.47,88.76,126999,167.42,94.8549,16275,22.49
2024-01-04,85.1095,144.3299,71.5864,144.57,92.5,126.0761,166.31,93.6062,16.7727,22.27
2024-01-05,85.44,145.2485,70.8568,145.24,90.54,128.6506,166.87,92.7264,17.2505,22.53
2024-01-08,85.6524,148.8154,71.6836,149.1,96.22,129.9039,166.13,93.8049,17.2704,23.23
