0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
106.96,78.5461,92.169,216.89,-24.24,88.2534,9.3369,103.4611,57.1218,24.13
106.21,78.9821,91.9304,209.9,-24.2,88.3834,9.2374,105.3346,57.1314,24.16
102.57,78.4634,90.604,210.53,-22.96,84.8013,8.9189,105.0434,56.1328,23.29
104.98,77.3733,90.0983,199.51,-23.0,85.4045,8.7198,102.966,56.0752,22.86
109.82,79.1851,91.5964,200.83,-23.39,86.0169,8.8591,105.1696,56.8529,23.35
105.45,79.8542,92.8465,182.58,-23.54,86.8614,9.1677,106.6063,57.333,23.85
102.05,79.576,88.9055,180.85,-23.3,85.8777,9.4464,105.2473,57.4579,23.87
103.63,77.4184,85.4512,176.4,-23.06,84.5878,9.4066,105.6462,57.0162,23.55
103.65,77.3057,84.0008,174.33,-22.77,84.2537,9.3867,106.6678,56.5361,23.58
104.0,76.5614,81.7106,171.59,-21.83,82.9174,9.3469,104.3229,60.3576,22.24
105.655,77.6966,83.9817,178.6,-22.72,84.031,9.9641,105.1986,60.7705,22.69
105.83,76.9373,84.9932,177.46,-23.29,83.7155,10.5613,105.5684,59.1862,22.51
106.62,75.7795,84.9359,178.0,-23.44,82.871,10.6011,106.0451,59.1766,22.68
110.19,75.8547,83.0561,180.74,-22.95,83.1401,10.4419,105.8311,60.0696,22.72
112.18,75.7645,83.4187,183.19,-23.34,83.4928,10.193,106.2008,59.4167,22.84
110.26,75.3811,82.9575,231.69,-23.96,83.799,9.7849,105.6559,59.2054,22.87
111.2,75.5465,85.6286,221.59,-24.45,85.3673,10.2627,106.8332,60.2616,23.33
113.4,73.6821,87.3869,212.8,-23.07,82.6947,10.3124,108.7792,59.5127,22.93
115.5,75.3134,90.9804,209.76,-24.23,83.2329,10.9893,109.2559,60.2616,23.76
118.15,76.0461,95.3425,206.28,-24.13,83.0086,11.2282,109.4408,61.371,23.84
116.25,75.5806,94.0934,203.53,-22.86,84.532,10.8898,107.2127,60.7825,24.44
115.01,77.626,95.5539,201.69,-22.76,84.5507,11.1685,105.1597,61.7472,24.74
114.99,76.8551,98.1673,200.89,-23.01,85.803,10.9893,103.0289,61.0623,24.6
116.75,74.0236,95.5923,198.55,-30.16,84.5413,10.621,103.564,60.3967,24.18
115.0,74.0694,96.0055,200.94,-28.56,87.4852,10.9495,103.9143,59.9626,24.21
120.11,73.9854,98.8207,201.77,-29.95,88.1301,11.2282,103.8267,60.6571,24.75
121.66,73.3138,100.6078,202.4,-31.4,87.7936,11.3278,104.4883,60.2423,25.26
120.58,71.215,100.1274,202.96,-31.03,86.5787,11.1785,103.9532,60.2809,25.03
122.77,71.9553,102.0779,208.74,-30.31,85.0647,11.7956,105.5489,59.9915,24.79
124.25,78.2518,106.1614,206.74,-31.8,86.2422,12.1241,108.9932,61.506,25.7
125.3,74.7792,104.7297,203.67,-31.6,85.7376,12.2435,108.4095,59.133,25.08
126.61,75.0158,107.6314,196.82,-32.73,86.3824,12.7114,112.1554,59.9722,25.67
121.23,77.0841,109.0919,191.76,-33.75,88.0273,12.9702,110.8711,60.387,26.71
124.25,76.9009,107.2567,192.33,-34.95,85.2142,12.6915,110.2095,60.0976,26.32
123.43,76.2445,107.1222,192.0,-34.24,87.4946,13.0299,110.9295,59.8565,26.12
126.57,77.2825,107.4489,196.24,-34.39,87.6535,14.6524,112.9241,61.0816,26.62
126.66,78.4121,109.1976,195.99,-34.99,89.8777,15.2696,112.6516,61.9594,27.16
126.42,77.8091,107.9293,193.03,-35.59,89.0833,15.5284,110.5306,61.4578,26.95
127.11,79.2287,107.2759,192.88,-36.24,88.0366,16.046,112.2916,62.4514,27.7
125.49,79.7858,105.7578,188.99,-36.08,90.1207,15.7275,113.2549,62.7794,27.44
125.78,78.0762,104.845,186.1,-36.24,87.3918,15.827,115.123,62.3549,27.35
124.83,77.4428,104.038,184.58,-36.9,85.8123,15.8171,115.7457,60.9465,27.1
130.15,76.649,102.7216,187.08,-37.21,87.1675,15.6877,116.3976,60.387,26.81
129.33,76.8704,102.4238,184.52,-36.93,87.8871,15.7275,117.1468,59.8468,25.85
127.33,76.6338,102.0587,178.55,-37.18,86.803,14.533,116.6506,60.252,26.09
129.18,74.9929,104.4415,182.73,-37.47,86.3637,15.8171,119.7252,60.8983,26.16
129.04,75.2295,104.9796,184.22,-36.7,85.803,17.2106,118.8982,61.1298,26.06
127.9,75.7408,104.9796,184.01,-37.85,86.7376,17.0812,117.0884,62.2585,26.23
130.36,76.3896,105.0853,190.09,-37.68,88.1768,18.7436,118.402,62.9723,26.72
130.22,77.1909,106.6994,191.39,-37.29,90.7656,18.873,116.923,63.2424,27.1
130.38,75.2753,104.845,186.95,-36.12,92.0179,19.1218,116.0668,63.2135,26.5
128.36,73.5046,103.0579,183.14,-35.52,91.859,18.7734,111.7565,62.4224,26.25
129.78,74.2526,103.8074,189.14,-35.54,94.3824,18.9526,112.2722,63.0302,27.22
127.13,74.1763,105.1621,190.82,-35.32,93.6254,19.2114,115.9695,64.2842,27.58
128.78,77.7862,107.8044,189.62,-35.8,95.4291,18.8132,116.1836,64.8051,27.57
130.8,77.5191,108.3232,194.96,-35.3,94.074,18.1364,120.3674,64.7955,27.82
134.3,78.5036,109.7068,196.95,-33.98,93.9712,17.6685,123.0431,65.2971,28.3
134.68,78.0762,107.1798,191.3,-34.91,93.1487,17.1509,126.7891,66.1749,27.73
133.56,77.6183,108.9862,206.71,-37.42,95.0553,17.6287,124.5901,66.0206,27.96
132.83,78.6181,111.5228,201.57,-37.16,96.2422,18.1662,124.4247,66.7248,28.3
135.36,78.9768,113.3387,198.58,-37.03,97.13,18.0667,124.3955,66.6476,28.19
129.96,79.595,110.4851,198.5,-36.33,98.6814,17.569,122.0312,64.4,27.97
130.0,79.6256,111.0424,197.91,-36.06,97.9805,17.7979,124.1328,64.4482,27.91
128.8,79.5798,112.6277,197.66,-37.21,99.1393,17.7681,126.4972,65.0656,27.73
129.13,83.8232,110.0239,200.01,-37.7,100.9337,17.3699,127.4604,65.4418,28.49
128.15,85.9678,109.5723,197.41,-38.71,101.6346,17.569,125.1642,65.3646,28.38
128.25,84.8612,109.5531,198.8,-38.96,100.7935,18.1364,123.6171,63.9466,28.01
132.21,85.3878,110.3506,208.4,-39.98,101.2702,18.4051,124.1036,63.4353,27.7
133.68,85.0978,112.4356,207.4,-39.61,101.5599,18.7535,123.5879,63.6958,27.65
131.69,84.3804,111.9167,202.68,-39.5,101.3262,17.9074,124.4636,63.5221,27.65
128.21,83.1211,108.8132,194.28,-38.92,105.5038,17.6387,122.3425,63.0302,27.07
128.91,81.8083,108.4962,196.24,-39.0,106.9056,17.4794,119.8225,67.9788,19.1
139.57,80.5261,109.5201,194.38,-39.23,107.2047,17.0812,122.5621,68.4901,19.32
142.22,80.3124,111.3457,195.6,-39.45,108.3916,17.9572,124.2976,68.8084,19.35
139.94,79.4653,110.6889,196.1,-39.66,106.6253,17.8377,124.3366,67.7762,20.04
137.85,79.1524,108.0035,203.6,-39.93,105.3262,17.1907,122.9034,67.4676,20.08
138.56,79.2974,106.7768,205.01,-40.29,104.8028,17.2803,120.3587,68.5673,20.26
138.41,79.7935,106.6222,204.87,-39.44,104.8869,16.7129,119.9298,67.6026,20.42
140.57,78.931,105.4438,211.43,-41.36,105.4944,16.7528,120.193,68.5865,20.53
137.67,77.1909,103.2704,199.83,-41.43,104.2982,16.5338,123.6639,66.9274,20.34
135.07,76.9238,101.3481,191.89,-41.96,103.9804,16.1057,119.6178,66.7827,20.43
133.98,77.6946,101.493,183.44,-41.11,104.4223,15.7275,113.5828,66.638,20.33
133.22,77.47,101.464,181.91,-43.2,105.7949,15.5184,114.3725,66.6476,20.25
134.68,76.8348,100.8361,181.7,-41.76,106.2274,15.6379,113.0368,66.6089,20.36
134.25,76.3081,96.8854,176.5,-41.17,104.7231,15.5881,114.197,67.4129,20.37
135.52,77.1911,98.1604,180.58,-50.86,105.4094,16.1754,114.9087,68.2557,20.9
131.84,76.3003,98.0252,174.42,-50.46,105.3812,15.6379,113.7778,67.8392,20.64
133.26,76.6489,97.4167,177.45,-50.16,105.9641,15.827,112.0618,67.8682,20.5
133.14,80.6537,98.1315,176.76,-49.51,106.7633,15.6379,112.7248,68.4107,20.59
134.91,81.7769,99.9958,181.61,-51.32,107.0641,15.9664,114.2945,69.1663,20.78
135.07,80.9093,99.0684,184.96,-52.29,107.647,15.7972,116.0202,69.2535,20.52
138.01,82.629,98.9042,189.12,-53.75,107.4778,15.7474,116.0397,69.3697,20.74
138.12,82.8459,99.9764,186.37,-54.5,108.1359,15.6578,117.1706,69.486,21.11
137.27,82.7684,98.2764,186.48,-54.85,106.3214,15.2995,111.4184,68.7498,21.17
135.36,82.3966,98.0059,182.09,-54.98,104.1778,15.3592,112.7346,69.0694,21.02
137.85,82.0713,96.5183,180.5,-54.61,105.7291,15.2298,114.1775,69.021,20.4
